t (s)	U1(V)	U2(V)
0,000000	0,335882	0,026252
0,006667	0,341130	0,026252
0,013333	0,341130	0,021002
0,020000	0,341130	0,026252
0,026667	0,346378	0,026252
0,033333	0,346378	0,026252
0,040000	0,351627	0,021002
0,046667	0,346378	0,026252
0,053333	0,346378	0,026252
0,060000	0,346378	0,021002
0,066667	0,346378	0,021002
0,073333	0,346378	0,021002
0,080000	0,346378	0,015751
0,086667	0,351627	0,021002
0,093333	0,346378	0,021002
0,100000	0,351627	0,015751
0,106667	0,351627	0,015751
0,113333	0,346378	0,015751
0,120000	0,346378	0,015751
0,126667	0,346378	0,015751
0,133333	0,346378	0,015751
0,140000	0,346378	0,010501
0,146667	0,346378	0,015751
0,153333	0,341130	0,010501
0,160000	0,341130	0,010501
0,166667	0,335882	0,010501
0,173333	0,335882	0,010501
0,180000	0,330634	0,010501
0,186667	0,330634	0,010501
0,193333	0,330634	0,005250
0,200000	0,325386	0,005250
0,206667	0,325386	0,005250
0,213333	0,320138	0,010501
0,220000	0,320138	0,005250
0,226667	0,314889	0,005250
0,233333	0,309641	0,005250
0,240000	0,304393	0,000000
0,246667	0,304393	0,000000
0,253333	0,299145	0,000000
0,260000	0,293897	0,000000
0,266667	0,293897	0,000000
0,273333	0,288649	0,000000
0,280000	0,283401	0,000000
0,286667	0,278152	0,000000
0,293333	0,272904	-0,005250
0,300000	0,267656	-0,005250
0,306667	0,262408	-0,005250
0,313333	0,262408	-0,005250
0,320000	0,257160	-0,005250
0,326667	0,246663	-0,005250
0,333333	0,241415	-0,005250
0,340000	0,236167	-0,010501
0,346667	0,230919	-0,010501
0,353333	0,225671	-0,010501
0,360000	0,220423	-0,010501
0,366667	0,215174	-0,010501
0,373333	0,209926	-0,010501
0,380000	0,204678	-0,015751
0,386667	0,199430	-0,015751
0,393333	0,194182	-0,015751
0,400000	0,183686	-0,015751
0,406667	0,178437	-0,015751
0,413333	0,173189	-0,015751
0,420000	0,167941	-0,015751
0,426667	0,157445	-0,015751
0,433333	0,152197	-0,021002
0,440000	0,146948	-0,021002
0,446667	0,136452	-0,021002
0,453333	0,131204	-0,021002
0,460000	0,120708	-0,021002
0,466667	0,115459	-0,021002
0,473333	0,110211	-0,021002
0,480000	0,104963	-0,026252
0,486667	0,094467	-0,021002
0,493333	0,089219	-0,026252
0,500000	0,083971	-0,026252
0,506667	0,073474	-0,026252
0,513333	0,068226	-0,026252
0,520000	0,057730	-0,026252
0,526667	0,052482	-0,026252
0,533333	0,047233	-0,031502
0,540000	0,036737	-0,031502
0,546667	0,031489	-0,026252
0,553333	0,020993	-0,026252
0,560000	0,010496	-0,026252
0,566667	0,005248	-0,031502
0,573333	-0,000000	-0,031502
0,580000	-0,005248	-0,031502
0,586667	-0,015744	-0,031502
0,593333	-0,020993	-0,031502
0,600000	-0,026241	-0,031502
0,606667	-0,036737	-0,031502
0,613333	-0,041985	-0,031502
0,620000	-0,052482	-0,031502
0,626667	-0,057730	-0,031502
0,633333	-0,062978	-0,031502
0,640000	-0,073474	-0,031502
0,646667	-0,078722	-0,031502
0,653333	-0,083971	-0,031502
0,660000	-0,089219	-0,036753
0,666667	-0,094467	-0,036753
0,673333	-0,104963	-0,031502
0,680000	-0,110211	-0,036753
0,686667	-0,115459	-0,036753
0,693333	-0,120708	-0,036753
0,700000	-0,125956	-0,031502
0,706667	-0,136452	-0,031502
0,713333	-0,141700	-0,036753
0,720000	-0,146948	-0,036753
0,726667	-0,152197	-0,036753
0,733333	-0,157445	-0,036753
0,740000	-0,162693	-0,036753
0,746667	-0,173189	-0,036753
0,753333	-0,178437	-0,036753
0,760000	-0,183686	-0,036753
0,766667	-0,188934	-0,036753
0,773333	-0,194182	-0,036753
0,780000	-0,199430	-0,036753
0,786667	-0,204678	-0,036753
0,793333	-0,209926	-0,036753
0,800000	-0,215174	-0,036753
0,806667	-0,220423	-0,036753
0,813333	-0,225671	-0,036753
0,820000	-0,225671	-0,036753
0,826667	-0,230919	-0,031502
0,833333	-0,236167	-0,036753
0,840000	-0,241415	-0,036753
0,846667	-0,246663	-0,036753
0,853333	-0,246663	-0,036753
0,860000	-0,251912	-0,036753
0,866667	-0,257160	-0,031502
0,873333	-0,262408	-0,031502
0,880000	-0,267656	-0,031502
0,886667	-0,267656	-0,031502
0,893333	-0,267656	-0,036753
0,900000	-0,272904	-0,031502
0,906667	-0,272904	-0,031502
0,913333	-0,278152	-0,036753
0,920000	-0,283401	-0,031502
0,926667	-0,283401	-0,026252
0,933333	-0,288649	-0,031502
0,940000	-0,288649	-0,031502
0,946667	-0,293897	-0,031502
0,953333	-0,293897	-0,026252
0,960000	-0,293897	-0,026252
0,966667	-0,299145	-0,026252
0,973333	-0,299145	-0,026252
0,980000	-0,304393	-0,026252
0,986667	-0,304393	-0,026252
0,993333	-0,304393	-0,026252
1,000000	-0,304393	-0,021002
1,006667	-0,304393	-0,021002
1,013333	-0,309641	-0,021002
1,020000	-0,309641	-0,021002
1,026667	-0,304393	-0,021002
1,033333	-0,309641	-0,021002
1,040000	-0,309641	-0,021002
1,046667	-0,309641	-0,015751
1,053333	-0,309641	-0,015751
1,060000	-0,309641	-0,021002
1,066667	-0,309641	-0,015751
1,073333	-0,304393	-0,015751
1,080000	-0,304393	-0,015751
1,086667	-0,309641	-0,015751
1,093333	-0,304393	-0,015751
1,100000	-0,299145	-0,010501
1,106667	-0,304393	-0,010501
1,113333	-0,299145	-0,010501
1,120000	-0,299145	-0,010501
1,126667	-0,299145	-0,010501
1,133333	-0,293897	-0,010501
1,140000	-0,293897	-0,010501
1,146667	-0,293897	-0,005250
1,153333	-0,288649	-0,010501
1,160000	-0,288649	-0,005250
1,166667	-0,283401	-0,010501
1,173333	-0,283401	-0,005250
1,180000	-0,278152	-0,005250
1,186667	-0,278152	-0,005250
1,193333	-0,272904	-0,005250
1,200000	-0,272904	0,000000
1,206667	-0,267656	0,000000
1,213333	-0,262408	0,000000
1,220000	-0,257160	0,005250
1,226667	-0,257160	0,000000
1,233333	-0,251912	0,000000
1,240000	-0,251912	0,005250
1,246667	-0,246663	0,005250
1,253333	-0,241415	0,005250
1,260000	-0,236167	0,005250
1,266667	-0,230919	0,005250
1,273333	-0,225671	0,010501
1,280000	-0,220423	0,010501
1,286667	-0,215174	0,005250
1,293333	-0,215174	0,010501
1,300000	-0,204678	0,010501
1,306667	-0,204678	0,010501
1,313333	-0,199430	0,010501
1,320000	-0,194182	0,010501
1,326667	-0,188934	0,010501
1,333333	-0,178437	0,015751
1,340000	-0,178437	0,015751
1,346667	-0,173189	0,015751
1,353333	-0,167941	0,015751
1,360000	-0,162693	0,015751
1,366667	-0,152197	0,015751
1,373333	-0,146948	0,015751
1,380000	-0,141700	0,021002
1,386667	-0,136452	0,021002
1,393333	-0,125956	0,021002
1,400000	-0,120708	0,021002
1,406667	-0,115459	0,021002
1,413333	-0,104963	0,021002
1,420000	-0,099715	0,021002
1,426667	-0,094467	0,026252
1,433333	-0,089219	0,026252
1,440000	-0,083971	0,026252
1,446667	-0,078722	0,026252
1,453333	-0,068226	0,026252
1,460000	-0,062978	0,026252
1,466667	-0,052482	0,026252
1,473333	-0,047233	0,026252
1,480000	-0,041985	0,031502
1,486667	-0,031489	0,031502
1,493333	-0,026241	0,026252
1,500000	-0,020993	0,026252
1,506667	-0,015744	0,031502
1,513333	-0,005248	0,031502
1,520000	-0,000000	0,031502
1,526667	0,005248	0,031502
1,533333	0,015744	0,031502
1,540000	0,020993	0,031502
1,546667	0,031489	0,031502
1,553333	0,036737	0,036753
1,560000	0,041985	0,031502
1,566667	0,052482	0,031502
1,573333	0,057730	0,031502
1,580000	0,062978	0,036753
1,586667	0,073474	0,036753
1,593333	0,078722	0,031502
1,600000	0,089219	0,036753
1,606667	0,094467	0,036753
1,613333	0,099715	0,036753
1,620000	0,110211	0,036753
1,626667	0,115459	0,036753
1,633333	0,120708	0,036753
1,640000	0,125956	0,031502
1,646667	0,136452	0,036753
1,653333	0,146948	0,036753
1,660000	0,152197	0,036753
1,666667	0,157445	0,036753
1,673333	0,162693	0,036753
1,680000	0,167941	0,036753
1,686667	0,178437	0,036753
1,693333	0,183686	0,036753
1,700000	0,188934	0,036753
1,706667	0,194182	0,036753
1,713333	0,199430	0,036753
1,720000	0,204678	0,036753
1,726667	0,215174	0,036753
1,733333	0,220423	0,036753
1,740000	0,225671	0,031502
1,746667	0,230919	0,036753
1,753333	0,236167	0,036753
1,760000	0,241415	0,036753
1,766667	0,246663	0,036753
1,773333	0,251912	0,036753
1,780000	0,257160	0,036753
1,786667	0,267656	0,031502
1,793333	0,272904	0,036753
1,800000	0,272904	0,031502
1,806667	0,278152	0,031502
1,813333	0,283401	0,036753
1,820000	0,288649	0,031502
1,826667	0,288649	0,036753
1,833333	0,293897	0,031502
1,840000	0,299145	0,031502
1,846667	0,304393	0,031502
1,853333	0,309641	0,031502
1,860000	0,309641	0,031502
1,866667	0,314889	0,031502
1,873333	0,320138	0,042003
1,880000	0,314889	0,031502
1,886667	0,320138	0,031502
1,893333	0,325386	0,031502
1,900000	0,325386	0,031502
1,906667	0,330634	0,026252
1,913333	0,330634	0,026252
1,920000	0,335882	0,026252
1,926667	0,335882	0,026252
1,933333	0,341130	0,026252
1,940000	0,341130	0,026252
1,946667	0,346378	0,026252
1,953333	0,346378	0,026252
1,960000	0,346378	0,026252
1,966667	0,346378	0,021002
1,973333	0,351627	0,021002
1,980000	0,346378	0,021002
1,986667	0,351627	0,021002
1,993333	0,351627	0,021002
2,000000	0,346378	0,021002
2,006667	0,346378	0,021002
2,013333	0,351627	0,021002
2,020000	0,351627	0,015751
2,026667	0,346378	0,015751
2,033333	0,346378	0,015751
2,040000	0,346378	0,015751
2,046667	0,346378	0,010501
2,053333	0,346378	0,015751
2,060000	0,346378	0,015751
2,066667	0,346378	0,015751
2,073333	0,346378	0,010501
2,080000	0,341130	0,010501
2,086667	0,341130	0,010501
2,093333	0,341130	0,010501
2,100000	0,335882	0,010501
2,106667	0,330634	0,010501
2,113333	0,330634	0,010501
2,120000	0,330634	0,005250
2,126667	0,325386	0,010501
2,133333	0,325386	0,005250
2,140000	0,320138	0,010501
2,146667	0,320138	0,005250
2,153333	0,314889	0,005250
2,160000	0,314889	0,005250
2,166667	0,309641	0,000000
2,173333	0,299145	0,005250
2,180000	0,304393	0,000000
2,186667	0,293897	0,000000
2,193333	0,288649	0,000000
2,200000	0,288649	0,000000
2,206667	0,283401	-0,005250
2,213333	0,278152	0,000000
2,220000	0,278152	0,000000
2,226667	0,267656	-0,005250
2,233333	0,267656	-0,005250
2,240000	0,257160	-0,005250
2,246667	0,251912	-0,005250
2,253333	0,246663	-0,005250
2,260000	0,246663	-0,005250
2,266667	0,236167	-0,010501
2,273333	0,230919	-0,010501
2,280000	0,225671	-0,010501
2,286667	0,220423	-0,010501
2,293333	0,215174	-0,010501
2,300000	0,209926	-0,010501
2,306667	0,204678	-0,010501
2,313333	0,194182	-0,015751
2,320000	0,188934	-0,015751
2,326667	0,183686	-0,015751
2,333333	0,178437	-0,015751
2,340000	0,173189	-0,015751
2,346667	0,167941	-0,015751
2,353333	0,157445	-0,015751
2,360000	0,152197	-0,015751
2,366667	0,146948	-0,021002
2,373333	0,141700	-0,021002
2,380000	0,131204	-0,021002
2,386667	0,125956	-0,021002
2,393333	0,115459	-0,021002
2,400000	0,110211	-0,026252
2,406667	0,104963	-0,021002
2,413333	0,099715	-0,026252
2,420000	0,089219	-0,021002
2,426667	0,083971	-0,026252
2,433333	0,073474	-0,026252
2,440000	0,068226	-0,026252
2,446667	0,062978	-0,026252
2,453333	0,052482	-0,026252
2,460000	0,047233	-0,026252
2,466667	0,036737	-0,031502
2,473333	0,031489	-0,031502
2,480000	0,026241	-0,026252
2,486667	0,015744	-0,031502
2,493333	0,005248	-0,031502
2,500000	-0,000000	-0,031502
2,506667	-0,005248	-0,031502
2,513333	-0,015744	-0,031502
2,520000	-0,020993	-0,031502
2,526667	-0,031489	-0,031502
2,533333	-0,036737	-0,031502
2,540000	-0,041985	-0,031502
2,546667	-0,047233	-0,031502
2,553333	-0,057730	-0,031502
2,560000	-0,068226	-0,036753
2,566667	-0,068226	-0,031502
2,573333	-0,078722	-0,031502
2,580000	-0,083971	-0,036753
2,586667	-0,089219	-0,036753
2,593333	-0,099715	-0,036753
2,600000	-0,104963	-0,031502
2,606667	-0,110211	-0,036753
2,613333	-0,115459	-0,036753
2,620000	-0,120708	-0,036753
2,626667	-0,131204	-0,036753
2,633333	-0,136452	-0,036753
2,640000	-0,141700	-0,036753
2,646667	-0,146948	-0,036753
2,653333	-0,157445	-0,031502
2,660000	-0,157445	-0,036753
2,666667	-0,162693	-0,031502
2,673333	-0,173189	-0,036753
2,680000	-0,178437	-0,036753
2,686667	-0,183686	-0,036753
2,693333	-0,188934	-0,031502
2,700000	-0,188934	-0,036753
2,706667	-0,199430	-0,036753
2,713333	-0,204678	-0,036753
2,720000	-0,209926	-0,036753
2,726667	-0,215174	-0,036753
2,733333	-0,215174	-0,036753
2,740000	-0,220423	-0,036753
2,746667	-0,225671	-0,036753
2,753333	-0,230919	-0,036753
2,760000	-0,236167	-0,031502
2,766667	-0,236167	-0,031502
2,773333	-0,241415	-0,036753
2,780000	-0,246663	-0,031502
2,786667	-0,251912	-0,036753
2,793333	-0,257160	-0,036753
2,800000	-0,257160	-0,031502
