t (s) - 1,U1(V) - 1,U2(V) - 1,,t (s) - 2,U1(V) - 2,U2(V) - 2,,t (s) - 3,U1(V) - 3,U2(V) - 3,,t (s) - 4,U1(V) - 4,U2(V) - 4,,t (s) - 5,U1(V) - 5,U2(V) - 5,,t (s) - 6,U1(V) - 6,U2(V) - 6,,t (s) - 7,U1(V) - 7,U2(V) - 7,,t (s) - 8,U1(V) - 8,U2(V) - 8,,t (s) - 9,U1(V) - 9,U2(V) - 9,,t (s) - 10,U1(V) - 10,U2(V) - 10,,t (s) - 11,U1(V) - 11,U2(V) - 11,,t (s) - 12,U1(V) - 12,U2(V) - 12,,t (s) - 13,U1(V) - 13,U2(V) - 13,,t (s) - 14,U1(V) - 14,U2(V) - 14,,t (s) - 15,U1(V) - 15,U2(V) - 15,,t (s) - 16,U1(V) - 16,U2(V) - 16,,t (s) - 17,U1(V) - 17,U2(V) - 17,,t (s) - 18,U1(V) - 18,U2(V) - 18,,t (s) - 19,U1(V) - 19,U2(V) - 19,,t (s) - 20,U1(V) - 20,U2(V) - 20,,t (s) - 21,U1(V) - 21,U2(V) - 21,,t (s) - 22,U1(V) - 22,U2(V) - 22,,t (s) - 23,U1(V) - 23,U2(V) - 23,,t (s) - 24,U1(V) - 24,U2(V) - 24,,t (s) - 25,U1(V) - 25,U2(V) - 25
0,-0.062978,-0.036753,,0,0.078722,0.031502,,0,-0.015744,0,,0,0.062978,0.00525,,0,-0.131204,-0.031502,,0,-0.131204,-0.036753,,0,0.136452,0.015751,,0,-0.183686,-0.036753,,0,-0.173189,0,,0,0.335882,0.026252,,0,-0.031489,-0.036753,,0,-0.278152,0.021002,,0,0.173189,-0.031502,,0,0.125956,-0.036753,,0,0.05773,0.015751,,0,0.178437,-0.026252,,0,0.026241,0.010501,,0,0.125956,-0.036753,,0,-0.099715,0.031502,,0,0.094467,-0.031502,,0,-0.05773,0.021002,,0,-0.041985,0.031502,,0,-0.031489,0.026252,,0,0.036737,-0.026252,,0,0.031489,-0.031502
0.006667,-0.062978,-0.042003,,0.006667,0.078722,0.031502,,0.006667,-0.010496,0,,0.006667,0.062978,0.00525,,0.006667,-0.125956,-0.031502,,0.006667,-0.131204,-0.036753,,0.006667,0.136452,0.015751,,0.006667,-0.188934,-0.031502,,0.006667,-0.167941,0,,0.006667,0.34113,0.026252,,0.006667,-0.041985,-0.031502,,0.006667,-0.272904,0.026252,,0.006667,0.167941,-0.036753,,0.006667,0.120708,-0.031502,,0.006667,0.062978,0.015751,,0.006667,0.178437,-0.026252,,0.006667,0.031489,0.010501,,0.006667,0.125956,-0.036753,,0.006667,-0.094467,0.031502,,0.006667,0.094467,-0.031502,,0.006667,-0.05773,0.021002,,0.006667,-0.041985,0.026252,,0.006667,-0.026241,0.026252,,0.006667,0.031489,-0.031502,,0.006667,0.031489,-0.036753
0.013333,-0.062978,-0.036753,,0.013333,0.078722,0.031502,,0.013333,-0.015744,0,,0.013333,0.062978,0.00525,,0.013333,-0.131204,-0.031502,,0.013333,-0.131204,-0.036753,,0.013333,0.131204,0.010501,,0.013333,-0.188934,-0.031502,,0.013333,-0.167941,0,,0.013333,0.34113,0.021002,,0.013333,-0.052482,-0.036753,,0.013333,-0.267656,0.026252,,0.013333,0.162693,-0.036753,,0.013333,0.115459,-0.031502,,0.013333,0.068226,0.015751,,0.013333,0.178437,-0.026252,,0.013333,0.031489,0.010501,,0.013333,0.120708,-0.036753,,0.013333,-0.099715,0.031502,,0.013333,0.099715,-0.031502,,0.013333,-0.062978,0.026252,,0.013333,-0.041985,0.031502,,0.013333,-0.020993,0.026252,,0.013333,0.036737,-0.026252,,0.013333,0.031489,-0.036753
0.02,-0.05773,-0.036753,,0.02,0.078722,0.031502,,0.02,-0.005248,0.00525,,0.02,0.05773,0.00525,,0.02,-0.125956,-0.031502,,0.02,-0.131204,-0.036753,,0.02,0.131204,0.010501,,0.02,-0.188934,-0.036753,,0.02,-0.157445,0,,0.02,0.34113,0.026252,,0.02,-0.05773,-0.036753,,0.02,-0.267656,0.031502,,0.02,0.157445,-0.036753,,0.02,0.110211,-0.031502,,0.02,0.073474,0.015751,,0.02,0.183686,-0.031502,,0.02,0.036737,0.010501,,0.02,0.120708,-0.036753,,0.02,-0.094467,0.031502,,0.02,0.099715,-0.031502,,0.02,-0.068226,0.026252,,0.02,-0.036737,0.031502,,0.02,-0.026241,0.026252,,0.02,0.031489,-0.026252,,0.02,0.031489,-0.031502
0.026667,-0.05773,-0.036753,,0.026667,0.073474,0.031502,,0.026667,-0.010496,0.00525,,0.026667,0.052482,0.00525,,0.026667,-0.125956,-0.031502,,0.026667,-0.131204,-0.042003,,0.026667,0.131204,0.010501,,0.026667,-0.188934,-0.031502,,0.026667,-0.157445,0,,0.026667,0.346378,0.026252,,0.026667,-0.062978,-0.036753,,0.026667,-0.25716,0.026252,,0.026667,0.146948,-0.036753,,0.026667,0.099715,-0.031502,,0.026667,0.078722,0.010501,,0.026667,0.183686,-0.026252,,0.026667,0.036737,0.010501,,0.026667,0.120708,-0.036753,,0.026667,-0.099715,0.031502,,0.026667,0.094467,-0.031502,,0.026667,-0.062978,0.026252,,0.026667,-0.041985,0.031502,,0.026667,-0.020993,0.021002,,0.026667,0.031489,-0.026252,,0.026667,0.031489,-0.031502
0.033333,-0.062978,-0.036753,,0.033333,0.073474,0.031502,,0.033333,-0.005248,0.00525,,0.033333,0.052482,0.00525,,0.033333,-0.125956,-0.031502,,0.033333,-0.131204,-0.036753,,0.033333,0.125956,0.010501,,0.033333,-0.188934,-0.031502,,0.033333,-0.152197,0,,0.033333,0.346378,0.026252,,0.033333,-0.073474,-0.036753,,0.033333,-0.25716,0.026252,,0.033333,0.136452,-0.036753,,0.033333,0.099715,-0.031502,,0.033333,0.083971,0.010501,,0.033333,0.183686,-0.026252,,0.033333,0.041985,0.00525,,0.033333,0.120708,-0.036753,,0.033333,-0.099715,0.036753,,0.033333,0.094467,-0.036753,,0.033333,-0.068226,0.026252,,0.033333,-0.036737,0.026252,,0.033333,-0.020993,0.026252,,0.033333,0.031489,-0.026252,,0.033333,0.031489,-0.031502
0.04,-0.05773,-0.042003,,0.04,0.078722,0.031502,,0.04,-0.005248,0,,0.04,0.052482,0,,0.04,-0.125956,-0.026252,,0.04,-0.131204,-0.036753,,0.04,0.125956,0.010501,,0.04,-0.188934,-0.031502,,0.04,-0.152197,0.00525,,0.04,0.351627,0.021002,,0.04,-0.083971,-0.031502,,0.04,-0.251912,0.026252,,0.04,0.131204,-0.036753,,0.04,0.089219,-0.031502,,0.04,0.089219,0.010501,,0.04,0.183686,-0.031502,,0.04,0.041985,0.00525,,0.04,0.120708,-0.031502,,0.04,-0.099715,0.031502,,0.04,0.094467,-0.031502,,0.04,-0.068226,0.026252,,0.04,-0.036737,0.026252,,0.04,-0.026241,0.026252,,0.04,0.031489,-0.031502,,0.04,0.031489,-0.031502
0.046667,-0.062978,-0.036753,,0.046667,0.073474,0.031502,,0.046667,-0.005248,0.00525,,0.046667,0.052482,0.00525,,0.046667,-0.125956,-0.026252,,0.046667,-0.131204,-0.036753,,0.046667,0.120708,0.010501,,0.046667,-0.188934,-0.031502,,0.046667,-0.146948,0.00525,,0.046667,0.346378,0.026252,,0.046667,-0.089219,-0.031502,,0.046667,-0.241415,0.031502,,0.046667,0.125956,-0.036753,,0.046667,0.083971,-0.031502,,0.046667,0.094467,0.010501,,0.046667,0.183686,-0.031502,,0.046667,0.052482,0.00525,,0.046667,0.115459,-0.036753,,0.046667,-0.099715,0.036753,,0.046667,0.099715,-0.036753,,0.046667,-0.073474,0.031502,,0.046667,-0.031489,0.026252,,0.046667,-0.015744,0.021002,,0.046667,0.026241,-0.026252,,0.046667,0.026241,-0.026252
0.053333,-0.062978,-0.036753,,0.053333,0.073474,0.031502,,0.053333,-0.005248,0.00525,,0.053333,0.047233,0,,0.053333,-0.120708,-0.026252,,0.053333,-0.131204,-0.036753,,0.053333,0.120708,0.010501,,0.053333,-0.188934,-0.031502,,0.053333,-0.1417,0.00525,,0.053333,0.346378,0.026252,,0.053333,-0.099715,-0.036753,,0.053333,-0.241415,0.031502,,0.053333,0.115459,-0.031502,,0.053333,0.073474,-0.031502,,0.053333,0.099715,0.00525,,0.053333,0.178437,-0.031502,,0.053333,0.052482,0.00525,,0.053333,0.115459,-0.036753,,0.053333,-0.094467,0.031502,,0.053333,0.094467,-0.036753,,0.053333,-0.068226,0.026252,,0.053333,-0.031489,0.026252,,0.053333,-0.015744,0.026252,,0.053333,0.020993,-0.026252,,0.053333,0.026241,-0.031502
0.06,-0.062978,-0.036753,,0.06,0.078722,0.026252,,0.06,0,0.00525,,0.06,0.047233,0,,0.06,-0.120708,-0.026252,,0.06,-0.136452,-0.036753,,0.06,0.115459,0.010501,,0.06,-0.188934,-0.031502,,0.06,-0.136452,0.00525,,0.06,0.346378,0.021002,,0.06,-0.104963,-0.031502,,0.06,-0.236167,0.026252,,0.06,0.104963,-0.036753,,0.06,0.068226,-0.031502,,0.06,0.104963,0.00525,,0.06,0.183686,-0.031502,,0.06,0.05773,0.00525,,0.06,0.115459,-0.036753,,0.06,-0.094467,0.036753,,0.06,0.099715,-0.031502,,0.06,-0.073474,0.031502,,0.06,-0.031489,0.026252,,0.06,-0.015744,0.021002,,0.06,0.020993,-0.026252,,0.06,0.026241,-0.031502
0.066667,-0.062978,-0.042003,,0.066667,0.073474,0.026252,,0.066667,0,0.00525,,0.066667,0.041985,0,,0.066667,-0.120708,-0.026252,,0.066667,-0.131204,-0.042003,,0.066667,0.115459,0.00525,,0.066667,-0.188934,-0.031502,,0.066667,-0.131204,0.00525,,0.066667,0.346378,0.021002,,0.066667,-0.115459,-0.031502,,0.066667,-0.225671,0.031502,,0.066667,0.099715,-0.031502,,0.066667,0.062978,-0.031502,,0.066667,0.110211,0.010501,,0.066667,0.183686,-0.031502,,0.066667,0.05773,0.00525,,0.066667,0.115459,-0.036753,,0.066667,-0.099715,0.036753,,0.066667,0.094467,-0.036753,,0.066667,-0.068226,0.031502,,0.066667,-0.026241,0.026252,,0.066667,-0.010496,0.021002,,0.066667,0.026241,-0.026252,,0.066667,0.026241,-0.026252
0.073333,-0.062978,-0.036753,,0.073333,0.073474,0.026252,,0.073333,0,0.010501,,0.073333,0.041985,0,,0.073333,-0.120708,-0.021002,,0.073333,-0.136452,-0.036753,,0.073333,0.110211,0.010501,,0.073333,-0.188934,-0.031502,,0.073333,-0.125956,0.00525,,0.073333,0.346378,0.021002,,0.073333,-0.115459,-0.036753,,0.073333,-0.225671,0.031502,,0.073333,0.089219,-0.036753,,0.073333,0.05773,-0.031502,,0.073333,0.110211,0.00525,,0.073333,0.183686,-0.031502,,0.073333,0.062978,0.00525,,0.073333,0.110211,-0.036753,,0.073333,-0.094467,0.036753,,0.073333,0.094467,-0.036753,,0.073333,-0.068226,0.031502,,0.073333,-0.026241,0.026252,,0.073333,-0.010496,0.021002,,0.073333,0.020993,-0.026252,,0.073333,0.026241,-0.026252
0.08,-0.05773,-0.036753,,0.08,0.073474,0.031502,,0.08,0,0.010501,,0.08,0.036737,0,,0.08,-0.115459,-0.026252,,0.08,-0.136452,-0.036753,,0.08,0.110211,0.010501,,0.08,-0.188934,-0.031502,,0.08,-0.120708,0.00525,,0.08,0.346378,0.015751,,0.08,-0.125956,-0.036753,,0.08,-0.220423,0.031502,,0.08,0.083971,-0.031502,,0.08,0.052482,-0.031502,,0.08,0.115459,0.00525,,0.08,0.178437,-0.031502,,0.08,0.068226,0,,0.08,0.110211,-0.036753,,0.08,-0.094467,0.036753,,0.08,0.094467,-0.036753,,0.08,-0.068226,0.031502,,0.08,-0.026241,0.021002,,0.08,-0.015744,0.015751,,0.08,0.020993,-0.021002,,0.08,0.020993,-0.026252
0.086667,-0.062978,-0.036753,,0.086667,0.073474,0.026252,,0.086667,0.005248,0.010501,,0.086667,0.036737,0,,0.086667,-0.120708,-0.026252,,0.086667,-0.136452,-0.036753,,0.086667,0.104963,0.00525,,0.086667,-0.188934,-0.031502,,0.086667,-0.115459,0.00525,,0.086667,0.351627,0.021002,,0.086667,-0.131204,-0.031502,,0.086667,-0.215174,0.031502,,0.086667,0.073474,-0.031502,,0.086667,0.041985,-0.031502,,0.086667,0.125956,0.00525,,0.086667,0.183686,-0.031502,,0.086667,0.068226,0,,0.086667,0.104963,-0.036753,,0.086667,-0.094467,0.031502,,0.086667,0.099715,-0.036753,,0.086667,-0.073474,0.031502,,0.086667,-0.020993,0.021002,,0.086667,-0.010496,0.015751,,0.086667,0.015744,-0.021002,,0.086667,0.026241,-0.026252
0.093333,-0.05773,-0.042003,,0.093333,0.073474,0.026252,,0.093333,0.005248,0.010501,,0.093333,0.036737,-0.00525,,0.093333,-0.115459,-0.021002,,0.093333,-0.136452,-0.036753,,0.093333,0.099715,0.00525,,0.093333,-0.188934,-0.026252,,0.093333,-0.115459,0.010501,,0.093333,0.346378,0.021002,,0.093333,-0.1417,-0.031502,,0.093333,-0.204678,0.031502,,0.093333,0.068226,-0.031502,,0.093333,0.036737,-0.031502,,0.093333,0.125956,0.00525,,0.093333,0.178437,-0.031502,,0.093333,0.073474,0,,0.093333,0.104963,-0.036753,,0.093333,-0.094467,0.036753,,0.093333,0.094467,-0.036753,,0.093333,-0.073474,0.031502,,0.093333,-0.020993,0.021002,,0.093333,-0.005248,0.015751,,0.093333,0.020993,-0.021002,,0.093333,0.020993,-0.021002
0.1,-0.062978,-0.036753,,0.1,0.073474,0.026252,,0.1,0.005248,0.010501,,0.1,0.031489,-0.00525,,0.1,-0.115459,-0.021002,,0.1,-0.136452,-0.036753,,0.1,0.099715,0.00525,,0.1,-0.183686,-0.026252,,0.1,-0.110211,0.010501,,0.1,0.351627,0.015751,,0.1,-0.146948,-0.031502,,0.1,-0.19943,0.031502,,0.1,0.062978,-0.031502,,0.1,0.031489,-0.026252,,0.1,0.131204,0.00525,,0.1,0.178437,-0.036753,,0.1,0.078722,0,,0.1,0.104963,-0.036753,,0.1,-0.094467,0.036753,,0.1,0.094467,-0.036753,,0.1,-0.073474,0.036753,,0.1,-0.015744,0.021002,,0.1,-0.010496,0.015751,,0.1,0.015744,-0.015751,,0.1,0.020993,-0.026252
0.106667,-0.062978,-0.036753,,0.106667,0.062978,0.026252,,0.106667,0.005248,0.010501,,0.106667,0.031489,0,,0.106667,-0.115459,-0.021002,,0.106667,-0.136452,-0.036753,,0.106667,0.099715,0.00525,,0.106667,-0.183686,-0.026252,,0.106667,-0.104963,0.010501,,0.106667,0.351627,0.015751,,0.106667,-0.152197,-0.031502,,0.106667,-0.194182,0.031502,,0.106667,0.052482,-0.031502,,0.106667,0.026241,-0.026252,,0.106667,0.136452,0,,0.106667,0.178437,-0.031502,,0.106667,0.078722,-0.00525,,0.106667,0.099715,-0.036753,,0.106667,-0.094467,0.036753,,0.106667,0.094467,-0.036753,,0.106667,-0.073474,0.031502,,0.106667,-0.020993,0.021002,,0.106667,-0.005248,0.010501,,0.106667,0.015744,-0.015751,,0.106667,0.020993,-0.021002
0.113333,-0.062978,-0.036753,,0.113333,0.073474,0.026252,,0.113333,0.010496,0.010501,,0.113333,0.031489,-0.00525,,0.113333,-0.110211,-0.021002,,0.113333,-0.136452,-0.036753,,0.113333,0.094467,0.00525,,0.113333,-0.183686,-0.026252,,0.113333,-0.099715,0.010501,,0.113333,0.346378,0.015751,,0.113333,-0.162693,-0.031502,,0.113333,-0.188934,0.031502,,0.113333,0.041985,-0.031502,,0.113333,0.015744,-0.026252,,0.113333,0.1417,0,,0.113333,0.178437,-0.031502,,0.113333,0.078722,-0.00525,,0.113333,0.104963,-0.036753,,0.113333,-0.094467,0.036753,,0.113333,0.089219,-0.036753,,0.113333,-0.073474,0.036753,,0.113333,-0.015744,0.021002,,0.113333,-0.005248,0.015751,,0.113333,0.010496,-0.015751,,0.113333,0.020993,-0.021002
0.12,-0.062978,-0.036753,,0.12,0.073474,0.026252,,0.12,0.015744,0.010501,,0.12,0.026241,-0.00525,,0.12,-0.110211,-0.015751,,0.12,-0.136452,-0.031502,,0.12,0.089219,0,,0.12,-0.188934,-0.026252,,0.12,-0.094467,0.010501,,0.12,0.346378,0.015751,,0.12,-0.167941,-0.031502,,0.12,-0.183686,0.036753,,0.12,0.036737,-0.031502,,0.12,0.015744,-0.026252,,0.12,0.1417,0,,0.12,0.173189,-0.036753,,0.12,0.089219,0,,0.12,0.099715,-0.036753,,0.12,-0.089219,0.036753,,0.12,0.089219,-0.036753,,0.12,-0.073474,0.031502,,0.12,-0.015744,0.015751,,0.12,-0.005248,0.010501,,0.12,0.010496,-0.015751,,0.12,0.015744,-0.021002
0.126667,-0.062978,-0.036753,,0.126667,0.073474,0.026252,,0.126667,0.015744,0.010501,,0.126667,0.026241,-0.00525,,0.126667,-0.110211,-0.021002,,0.126667,-0.136452,-0.031502,,0.126667,0.089219,0.00525,,0.126667,-0.183686,-0.026252,,0.126667,-0.089219,0.010501,,0.126667,0.346378,0.015751,,0.126667,-0.173189,-0.031502,,0.126667,-0.173189,0.031502,,0.126667,0.026241,-0.031502,,0.126667,0.005248,-0.026252,,0.126667,0.152197,0,,0.126667,0.173189,-0.036753,,0.126667,0.089219,-0.00525,,0.126667,0.099715,-0.036753,,0.126667,-0.089219,0.036753,,0.126667,0.089219,-0.031502,,0.126667,-0.078722,0.031502,,0.126667,-0.010496,0.015751,,0.126667,0,0.00525,,0.126667,0.010496,-0.010501,,0.126667,0.015744,-0.021002
0.133333,-0.062978,-0.036753,,0.133333,0.068226,0.026252,,0.133333,0.015744,0.015751,,0.133333,0.020993,-0.00525,,0.133333,-0.110211,-0.015751,,0.133333,-0.136452,-0.031502,,0.133333,0.083971,0,,0.133333,-0.183686,-0.026252,,0.133333,-0.083971,0.010501,,0.133333,0.346378,0.015751,,0.133333,-0.183686,-0.031502,,0.133333,-0.167941,0.036753,,0.133333,0.020993,-0.031502,,0.133333,-0.005248,-0.021002,,0.133333,0.152197,0,,0.133333,0.173189,-0.036753,,0.133333,0.094467,-0.00525,,0.133333,0.094467,-0.036753,,0.133333,-0.089219,0.036753,,0.133333,0.089219,-0.036753,,0.133333,-0.073474,0.031502,,0.133333,-0.010496,0.015751,,0.133333,0,0.00525,,0.133333,0.010496,-0.015751,,0.133333,0.015744,-0.015751
0.14,-0.062978,-0.036753,,0.14,0.068226,0.026252,,0.14,0.015744,0.010501,,0.14,0.020993,-0.010501,,0.14,-0.104963,-0.015751,,0.14,-0.131204,-0.031502,,0.14,0.083971,0,,0.14,-0.183686,-0.021002,,0.14,-0.078722,0.015751,,0.14,0.346378,0.010501,,0.14,-0.188934,-0.031502,,0.14,-0.162693,0.036753,,0.14,0.010496,-0.031502,,0.14,-0.010496,-0.021002,,0.14,0.157445,-0.00525,,0.14,0.167941,-0.036753,,0.14,0.094467,-0.00525,,0.14,0.094467,-0.036753,,0.14,-0.089219,0.036753,,0.14,0.089219,-0.036753,,0.14,-0.078722,0.036753,,0.14,-0.010496,0.015751,,0.14,0,0.00525,,0.14,0.005248,-0.010501,,0.14,0.015744,-0.021002
0.146667,-0.05773,-0.036753,,0.146667,0.068226,0.026252,,0.146667,0.020993,0.010501,,0.146667,0.020993,-0.010501,,0.146667,-0.104963,-0.015751,,0.146667,-0.136452,-0.036753,,0.146667,0.083971,0,,0.146667,-0.178437,-0.026252,,0.146667,-0.078722,0.015751,,0.146667,0.346378,0.015751,,0.146667,-0.194182,-0.031502,,0.146667,-0.152197,0.036753,,0.146667,0,-0.031502,,0.146667,-0.015744,-0.026252,,0.146667,0.157445,0,,0.146667,0.167941,-0.031502,,0.146667,0.094467,-0.00525,,0.146667,0.089219,-0.031502,,0.146667,-0.089219,0.036753,,0.146667,0.089219,-0.036753,,0.146667,-0.078722,0.036753,,0.146667,-0.005248,0.015751,,0.146667,0.005248,0.00525,,0.146667,0.005248,-0.010501,,0.146667,0.015744,-0.015751
0.153333,-0.062978,-0.036753,,0.153333,0.068226,0.026252,,0.153333,0.015744,0.010501,,0.153333,0.015744,-0.010501,,0.153333,-0.104963,-0.015751,,0.153333,-0.136452,-0.031502,,0.153333,0.078722,0,,0.153333,-0.178437,-0.021002,,0.153333,-0.068226,0.015751,,0.153333,0.34113,0.010501,,0.153333,-0.19943,-0.031502,,0.153333,-0.146948,0.031502,,0.153333,-0.005248,-0.031502,,0.153333,-0.026241,-0.026252,,0.153333,0.162693,0,,0.153333,0.167941,-0.036753,,0.153333,0.099715,-0.010501,,0.153333,0.089219,-0.031502,,0.153333,-0.083971,0.036753,,0.153333,0.083971,-0.036753,,0.153333,-0.073474,0.036753,,0.153333,-0.005248,0.015751,,0.153333,0.005248,0.00525,,0.153333,0.005248,-0.010501,,0.153333,0.015744,-0.015751
0.16,-0.062978,-0.036753,,0.16,0.068226,0.021002,,0.16,0.020993,0.015751,,0.16,0.015744,-0.010501,,0.16,-0.099715,-0.015751,,0.16,-0.136452,-0.031502,,0.16,0.073474,0,,0.16,-0.178437,-0.026252,,0.16,-0.062978,0.015751,,0.16,0.34113,0.010501,,0.16,-0.204678,-0.031502,,0.16,-0.136452,0.036753,,0.16,-0.010496,-0.031502,,0.16,-0.026241,-0.021002,,0.16,0.167941,-0.00525,,0.16,0.162693,-0.036753,,0.16,0.104963,-0.010501,,0.16,0.083971,-0.036753,,0.16,-0.089219,0.036753,,0.16,0.089219,-0.036753,,0.16,-0.073474,0.036753,,0.16,-0.005248,0.015751,,0.16,0.010496,0.00525,,0.16,0.005248,-0.010501,,0.16,0.010496,-0.015751
0.166667,-0.062978,-0.036753,,0.166667,0.068226,0.026252,,0.166667,0.026241,0.015751,,0.166667,0.010496,-0.010501,,0.166667,-0.099715,-0.015751,,0.166667,-0.131204,-0.031502,,0.166667,0.068226,-0.00525,,0.166667,-0.178437,-0.021002,,0.166667,-0.062978,0.015751,,0.166667,0.335882,0.010501,,0.166667,-0.215174,-0.031502,,0.166667,-0.131204,0.036753,,0.166667,-0.026241,-0.031502,,0.166667,-0.036737,-0.026252,,0.166667,0.173189,-0.00525,,0.166667,0.162693,-0.036753,,0.166667,0.104963,-0.00525,,0.166667,0.083971,-0.031502,,0.166667,-0.083971,0.036753,,0.166667,0.089219,-0.031502,,0.166667,-0.073474,0.036753,,0.166667,-0.005248,0.010501,,0.166667,0.010496,0.00525,,0.166667,0.005248,-0.00525,,0.166667,0.010496,-0.015751
0.173333,-0.062978,-0.036753,,0.173333,0.068226,0.026252,,0.173333,0.026241,0.015751,,0.173333,0.010496,-0.010501,,0.173333,-0.099715,-0.015751,,0.173333,-0.131204,-0.031502,,0.173333,0.068226,-0.00525,,0.173333,-0.178437,-0.021002,,0.173333,-0.052482,0.021002,,0.173333,0.335882,0.010501,,0.173333,-0.215174,-0.026252,,0.173333,-0.125956,0.036753,,0.173333,-0.031489,-0.031502,,0.173333,-0.041985,-0.021002,,0.173333,0.173189,-0.00525,,0.173333,0.157445,-0.036753,,0.173333,0.104963,-0.00525,,0.173333,0.078722,-0.031502,,0.173333,-0.083971,0.036753,,0.173333,0.083971,-0.036753,,0.173333,-0.073474,0.036753,,0.173333,0,0.010501,,0.173333,0.010496,0.00525,,0.173333,0,-0.00525,,0.173333,0.010496,-0.015751
0.18,-0.062978,-0.036753,,0.18,0.068226,0.021002,,0.18,0.026241,0.021002,,0.18,0.010496,-0.010501,,0.18,-0.094467,-0.021002,,0.18,-0.131204,-0.031502,,0.18,0.062978,-0.00525,,0.18,-0.173189,-0.021002,,0.18,-0.052482,0.015751,,0.18,0.330634,0.010501,,0.18,-0.225671,-0.026252,,0.18,-0.115459,0.036753,,0.18,-0.036737,-0.031502,,0.18,-0.047233,-0.021002,,0.18,0.178437,-0.00525,,0.18,0.157445,-0.031502,,0.18,0.110211,-0.015751,,0.18,0.078722,-0.031502,,0.18,-0.078722,0.036753,,0.18,0.083971,-0.036753,,0.18,-0.073474,0.036753,,0.18,0,0.010501,,0.18,0.010496,0,,0.18,0,-0.00525,,0.18,0.005248,-0.010501
0.186667,-0.062978,-0.036753,,0.186667,0.062978,0.021002,,0.186667,0.026241,0.015751,,0.186667,0.005248,-0.010501,,0.186667,-0.094467,-0.015751,,0.186667,-0.136452,-0.031502,,0.186667,0.05773,-0.00525,,0.186667,-0.173189,-0.021002,,0.186667,-0.041985,0.021002,,0.186667,0.330634,0.010501,,0.186667,-0.230919,-0.026252,,0.186667,-0.104963,0.036753,,0.186667,-0.047233,-0.026252,,0.186667,-0.052482,-0.021002,,0.186667,0.178437,-0.00525,,0.186667,0.152197,-0.036753,,0.186667,0.115459,-0.010501,,0.186667,0.073474,-0.031502,,0.186667,-0.078722,0.036753,,0.186667,0.078722,-0.036753,,0.186667,-0.073474,0.031502,,0.186667,0.005248,0.010501,,0.186667,0.010496,0,,0.186667,0,-0.00525,,0.186667,0.010496,-0.010501
0.193333,-0.062978,-0.036753,,0.193333,0.062978,0.026252,,0.193333,0.031489,0.015751,,0.193333,0.005248,-0.010501,,0.193333,-0.089219,-0.015751,,0.193333,-0.131204,-0.031502,,0.193333,0.05773,-0.00525,,0.193333,-0.173189,-0.021002,,0.193333,-0.041985,0.015751,,0.193333,0.330634,0.00525,,0.193333,-0.236167,-0.031502,,0.193333,-0.104963,0.036753,,0.193333,-0.052482,-0.031502,,0.193333,-0.062978,-0.026252,,0.193333,0.183686,-0.010501,,0.193333,0.157445,-0.036753,,0.193333,0.115459,-0.015751,,0.193333,0.068226,-0.031502,,0.193333,-0.078722,0.036753,,0.193333,0.078722,-0.036753,,0.193333,-0.073474,0.036753,,0.193333,0.010496,0.010501,,0.193333,0.015744,0,,0.193333,-0.005248,0,,0.193333,0.005248,-0.010501
0.2,-0.05773,-0.036753,,0.2,0.062978,0.021002,,0.2,0.031489,0.015751,,0.2,0.005248,-0.010501,,0.2,-0.094467,-0.015751,,0.2,-0.131204,-0.031502,,0.2,0.05773,-0.00525,,0.2,-0.167941,-0.021002,,0.2,-0.036737,0.021002,,0.2,0.325386,0.00525,,0.2,-0.241415,-0.031502,,0.2,-0.094467,0.036753,,0.2,-0.05773,-0.026252,,0.2,-0.062978,-0.021002,,0.2,0.183686,-0.010501,,0.2,0.146948,-0.036753,,0.2,0.115459,-0.015751,,0.2,0.073474,-0.031502,,0.2,-0.073474,0.036753,,0.2,0.078722,-0.036753,,0.2,-0.073474,0.036753,,0.2,0.010496,0.00525,,0.2,0.015744,0,,0.2,-0.010496,0,,0.2,0.005248,-0.00525
0.206667,-0.062978,-0.036753,,0.206667,0.062978,0.021002,,0.206667,0.031489,0.021002,,0.206667,0,-0.015751,,0.206667,-0.089219,-0.010501,,0.206667,-0.131204,-0.026252,,0.206667,0.047233,-0.00525,,0.206667,-0.167941,-0.021002,,0.206667,-0.026241,0.021002,,0.206667,0.325386,0.00525,,0.206667,-0.246663,-0.031502,,0.206667,-0.083971,0.036753,,0.206667,-0.068226,-0.026252,,0.206667,-0.073474,-0.021002,,0.206667,0.194182,-0.010501,,0.206667,0.146948,-0.036753,,0.206667,0.120708,-0.015751,,0.206667,0.068226,-0.031502,,0.206667,-0.073474,0.036753,,0.206667,0.078722,-0.031502,,0.206667,-0.073474,0.036753,,0.206667,0.010496,0.00525,,0.206667,0.015744,0,,0.206667,-0.005248,0,,0.206667,0,-0.00525
