Time (s),Gyroscope x (rad/s)
2.410175908,0.0155770639
2.412262435,0.01435533352
2.41433351,0.0155770639
2.416418879,0.01435533352
2.418510115,0.01313360315
2.420612725,0.0155770639
2.422698337,0.01679879427
2.424789188,0.01679879427
2.426883547,0.0155770639
2.428959059,0.0155770639
2.43104467,0.01679879427
2.433128705,0.01802052557
2.435225517,0.01802052557
2.437329328,0.01679879427
2.439392937,0.0155770639
2.441479861,0.0155770639
2.443561871,0.01924225502
2.445656628,0.01802052557
2.447742759,0.01924225502
2.449830039,0.01802052557
2.451917003,0.02046398632
2.454004314,0.01802052557
2.456090516,0.01802052557
2.458178508,0.01802052557
2.460265545,0.01802052557
2.462355256,0.01924225502
2.464436025,0.02046398632
2.466510489,0.02168571576
2.468600565,0.01924225502
2.470702667,0.02168571576
2.472791575,0.02046398632
2.474881144,0.02168571576
2.47696941,0.02168571576
2.479052072,0.02168571576
2.481137308,0.02290744707
2.483222736,0.02168571576
2.485308043,0.02290744707
2.487383523,0.02290744707
2.489472971,0.02290744707
2.491573973,0.02535090782
2.493659351,0.02290744707
2.49573305,0.02657263726
2.497818723,0.02535090782
2.499906064,0.02779436857
2.502001431,0.02535090782
2.504100726,0.02779436857
2.506187019,0.02901609987
2.508274533,0.02779436857
2.510357683,0.02779436857
2.512443102,0.02779436857
2.514514044,0.03023782931
2.516600785,0.03145955876
2.518720547,0.03145955876
2.520792823,0.03023782931
2.522863694,0.03268129006
2.524965033,0.03268129006
2.527054957,0.03268129006
2.529151474,0.03268129006
2.531230281,0.03512475267
2.53331753,0.03512475267
2.535403733,0.03512475267
2.537492129,0.03390302137
2.542035741,0.03634648025
2.544182266,0.03634648025
2.546269351,0.03756821156
2.548356435,0.03878994286
2.550751276,0.04001167417
2.552492568,0.03878994286
2.554579653,0.03878994286
2.556276992,0.04123340547
2.558329306,0.04123340547
2.560456218,0.04123340547
2.562539086,0.04123340547
2.56461067,0.04367686436
2.566700981,0.04367686436
2.568800215,0.04367686436
2.570890282,0.04612032697
2.572976645,0.04612032697
2.575060671,0.04734205827
2.577148459,0.04978551716
2.579236757,0.04978551716
2.58132299,0.04978551716
2.583407523,0.05222897977
2.585484448,0.05100724846
2.587585816,0.05222897977
2.589672038,0.05222897977
2.591761353,0.05589416996
2.59384369,0.05711590126
2.595930065,0.05467243865
2.598020457,0.05711590126
2.600107666,0.05711590126
2.602195689,0.05833763257
2.604282613,0.06078109145
2.606369263,0.05955936015
2.608456125,0.06200282276
2.610543691,0.06444628537
2.612628152,0.06444628537
2.614706786,0.06688974798
2.616812976,0.06566801667
2.618892435,0.06688974798
2.620983825,0.06688974798
2.623064909,0.06933320314
2.625153828,0.07299839705
2.627237435,0.07422012836
2.629308287,0.07299839705
2.63140281,0.07544185966
2.633502653,0.07666359097
2.63559506,0.08170322329
2.637675423,0.08032877743
2.639739144,0.08032877743
2.64182386,0.08277224004
2.643933224,0.08292495459
2.646020973,0.08659014851
2.648104661,0.08643743396
2.65018882,0.08903361112
2.652290361,0.08903361112
2.654362545,0.09147707373
2.656465165,0.09254608303
2.658547786,0.09498954564
2.66063995,0.0963639915
2.662725459,0.0963639915
2.664811499,0.09880745411
2.666894251,0.1000291854
2.668971787,0.1049161032
2.671073268,0.1061378345
2.673160344,0.1085812971
2.675249781,0.1110247597
2.677334131,0.1098030284
2.679415511,0.112246491
2.681474227,0.1146899462
2.683591827,0.1171334088
2.6856796,0.1183551401
2.687784275,0.1232420653
2.689853001,0.1232420653
2.691943689,0.1269072592
2.694025323,0.1281289905
2.696119673,0.1293507218
2.698206556,0.1330159009
2.700291975,0.1354593635
2.702373812,0.1391245574
2.704455935,0.1403462887
2.70655472,0.1427897513
2.708642652,0.1452332139
2.710732923,0.1464549452
2.71281771,0.1501201391
2.714906486,0.1525636017
2.7169905,0.1562287807
2.719078655,0.1598939747
2.721164654,0.1623374373
2.723248953,0.1660026312
2.725334454,0.1672243625
2.727426941,0.1710422635
2.729516531,0.1745547503
2.731603322,0.1783726513
2.733689332,0.1795943826
2.735775869,0.1832595766
2.737863556,0.1869247705
2.739950633,0.1905899495
2.74203775,0.1954768747
2.744124929,0.1991420686
2.74621171,0.2028072625
2.748282307,0.2052507252
2.750373586,0.2101376504
2.752472533,0.2138028294
2.754564493,0.2174680233
2.756650622,0.2186897546
2.758731241,0.2235766798
2.76080899,0.228463605
2.762910042,0.232128799
2.764996722,0.2382374406
2.767086616,0.2431243658
2.769171527,0.2467895597
2.771259083,0.2492330223
2.773345314,0.2541199327
2.775438627,0.2577851415
2.777545611,0.2638937831
2.779607623,0.267711699
2.781694648,0.2725986242
2.783771044,0.2787072659
2.785855557,0.2848159075
2.787957099,0.2909245789
2.790043433,0.2945897579
2.792132788,0.3006984293
2.794217525,0.306807071
2.796308834,0.3129157126
2.798396887,0.3165809214
2.800478887,0.322689563
2.802564397,0.3300199509
2.804640427,0.3361285925
2.806713221,0.3410155177
2.80880281,0.3483459055
2.810902095,0.3532328308
2.812993677,0.3607159257
2.815080378,0.3668245673
2.817164941,0.3741549551
2.819251927,0.3790418804
2.82133759,0.3875939846
2.823417016,0.3961461186
2.825513391,0.4034765065
2.827600548,0.4108068645
2.829690983,0.4169155359
2.831775261,0.4279111028
2.833862135,0.4340197444
2.83594971,0.4415028691
2.838037376,0.4488332272
2.840123853,0.4573853612
2.842209109,0.4659374654
2.844289604,0.4744895697
2.846386436,0.4830417037
2.848472892,0.4940372705
2.850562268,0.5013676286
2.852646923,0.511141479
2.85473514,0.5209153295
2.856821575,0.5294674635
2.858908642,0.5406157374
2.860996624,0.5503895879
2.863086071,0.5601634383
2.865174988,0.5723807216
2.867257335,0.5809328556
2.869344646,0.590706706
2.871431449,0.6029239893
2.873518921,0.6139195561
2.875605997,0.626136899
2.87769343,0.6372851729
2.879781575,0.6495024562
2.881868285,0.6629415154
2.883953938,0.6739370823
2.886038411,0.6861543655
2.888130298,0.6995934248
2.890216501,0.7130324841
2.892304645,0.7228062749
2.894390929,0.7376197577
2.896479298,0.7522805333
2.898565693,0.766941309
2.900652433,0.7816020846
2.90273716,0.7962628603
2.904815387,0.80970186
2.906904081,0.8257371187
2.909004667,0.8416196108
2.911105517,0.8575021029
2.913193844,0.8721628785
2.915278053,0.8880453706
2.917361762,0.905149579
2.919449409,0.9224064946
2.92153801,0.9395107627
2.92362346,0.9578366876
2.92570713,0.9749409556
2.9277815,0.9920451641
2.929871313,1.010523796
2.931961014,1.02884984
2.934063391,1.049619198
2.936150315,1.069166899
2.938237656,1.0887146
