Time (t) / s,Reading,ω / rad/s
5.09,658.1,0.001272995048
5.19,650.7,0.001287472016
5.22,650.4,0.001288065869
5.4,684.4,0.001224076623
5.5,703.7,0.001190504535
5.5,665.9,0.001258083858
5.65,650.1,0.001288660269
5.65,638.7,0.001311661251
5.66,645.8,0.001297240695
5.69,643.2,0.001302484516
M = 50g,L = 86.5 cm,#VALUE!
