t (s) - 400mA,U1(V) - 400mA,U2(V) - 400mA,,t (s) - 500mA,U1(V) - 500mA,U2(V) - 500mA,,t (s) - 600mA,U1(V) - 600mA,U2(V) - 600mA,,t (s) - 700mA,U1(V) - 700mA,U2(V) - 700mA,,t (s) - 800mA,U1(V) - 800mA,U2(V) - 800mA,,t (s) - 900mA,U1(V) - 900mA,U2(V) - 900mA,,t (s) - 1000mA,U1(V) - 1000mA,U2(V) - 1000mA,,t (s) - 1100mA,U1(V) -  1100mA,U2(V) -  1100mA,,t (s) - 1200mA,U1(V) - 1200mA,U2(V) - 1200mA
0,-1.133602,0.00525,,0,-1.175587,0.00525,,0,-0.346378,0,,0,0.661268,-0.00525,,0,1.401258,-0.00525,,0,1.422251,-0.00525,,0,1.264806,-0.00525,,0,1.53771,-0.00525,,0,0.766231,0
0.006667,-1.13885,0.00525,,0.006667,-1.175587,0.00525,,0.006667,-0.367371,0.00525,,0.006667,0.635027,-0.00525,,0.006667,1.380266,-0.00525,,0.006667,1.417003,-0.00525,,0.006667,1.249062,-0.00525,,0.006667,1.527214,0,,0.003333,0.755735,0
0.013333,-1.144098,0.00525,,0.013333,-1.175587,0.00525,,0.013333,-0.39886,0,,0.013333,0.619283,-0.00525,,0.013333,1.369769,-0.00525,,0.013333,1.401258,-0.00525,,0.013333,1.228069,-0.00525,,0.013333,1.516718,-0.00525,,0.006667,0.750487,-0.00525
0.02,-1.149347,0.00525,,0.02,-1.180836,0.00525,,0.02,-0.425101,0.00525,,0.02,0.587794,0,,0.02,1.348777,-0.00525,,0.02,1.380266,-0.00525,,0.02,1.207076,-0.00525,,0.02,1.506221,0,,0.01,0.73999,-0.00525
0.026667,-1.154595,0.00525,,0.026667,-1.180836,0.00525,,0.026667,-0.451342,0,,0.026667,0.566801,-0.00525,,0.026667,1.333032,-0.00525,,0.026667,1.375017,-0.00525,,0.026667,1.191332,-0.00525,,0.026667,1.490477,-0.00525,,0.013333,0.729494,-0.00525
0.033333,-1.154595,0.00525,,0.033333,-1.175587,0.00525,,0.033333,-0.477582,0.00525,,0.033333,0.54056,0,,0.033333,1.317288,-0.00525,,0.033333,1.359273,0,,0.033333,1.175587,-0.00525,,0.033333,1.479981,-0.00525,,0.016667,0.724246,-0.00525
0.04,-1.159843,0.00525,,0.04,-1.175587,0.00525,,0.04,-0.503823,0.00525,,0.04,0.51432,-0.00525,,0.04,1.301543,-0.00525,,0.04,1.343529,-0.00525,,0.04,1.154595,-0.00525,,0.04,1.464236,-0.00525,,0.02,0.708501,-0.00525
0.046667,-1.159843,0.010501,,0.046667,-1.175587,0.00525,,0.046667,-0.530064,0.00525,,0.046667,0.493327,-0.00525,,0.046667,1.285799,-0.00525,,0.046667,1.327784,-0.00525,,0.046667,1.13885,-0.00525,,0.046667,1.45374,0,,0.023333,0.703253,-0.00525
0.053333,-1.165091,0.00525,,0.053333,-1.175587,0.00525,,0.053333,-0.556305,0.00525,,0.053333,0.467086,-0.00525,,0.053333,1.264806,-0.00525,,0.053333,1.317288,-0.00525,,0.053333,1.117858,-0.00525,,0.053333,1.437995,-0.00525,,0.026667,0.692757,0
0.06,-1.165091,0.00525,,0.06,-1.170339,0.00525,,0.06,-0.582546,0.00525,,0.06,0.440845,-0.00525,,0.06,1.249062,-0.00525,,0.06,1.296295,-0.00525,,0.06,1.096865,0,,0.06,1.422251,-0.00525,,0.03,0.682261,-0.00525
0.066667,-1.170339,0.00525,,0.066667,-1.170339,0.00525,,0.066667,-0.603538,0,,0.066667,0.414605,-0.00525,,0.066667,1.228069,-0.00525,,0.066667,1.280551,0,,0.066667,1.081121,-0.00525,,0.066667,1.406506,-0.00525,,0.033333,0.671764,-0.00525
0.073333,-1.170339,0.00525,,0.073333,-1.165091,0.00525,,0.073333,-0.629779,0.00525,,0.073333,0.383116,-0.00525,,0.073333,1.207076,-0.00525,,0.073333,1.264806,-0.00525,,0.073333,1.05488,-0.00525,,0.073333,1.385514,-0.00525,,0.036667,0.661268,-0.00525
0.08,-1.170339,0.00525,,0.08,-1.165091,0.00525,,0.08,-0.650772,0.00525,,0.08,0.362123,-0.00525,,0.08,1.191332,-0.00525,,0.08,1.243814,-0.00525,,0.08,1.039135,-0.00525,,0.08,1.375017,-0.00525,,0.04,0.650772,-0.00525
0.086667,-1.170339,0.00525,,0.086667,-1.159843,0.00525,,0.086667,-0.671764,0.00525,,0.086667,0.330634,-0.00525,,0.086667,1.165091,-0.00525,,0.086667,1.228069,-0.00525,,0.086667,1.018143,-0.00525,,0.086667,1.354025,-0.00525,,0.043333,0.640275,-0.00525
0.093333,-1.165091,0.00525,,0.093333,-1.154595,0.00525,,0.093333,-0.692757,0.00525,,0.093333,0.304393,0,,0.093333,1.149347,-0.00525,,0.093333,1.212325,-0.00525,,0.093333,0.99715,-0.00525,,0.093333,1.33828,-0.00525,,0.046667,0.629779,-0.00525
0.1,-1.170339,0.010501,,0.1,-1.149347,0.00525,,0.1,-0.71375,0.00525,,0.1,0.278152,0,,0.1,1.128354,-0.00525,,0.1,1.191332,-0.00525,,0.1,0.981406,-0.00525,,0.1,1.322536,-0.00525,,0.05,0.624531,-0.00525
0.106667,-1.165091,0.00525,,0.106667,-1.144098,0.00525,,0.106667,-0.734742,0.00525,,0.106667,0.246663,0,,0.106667,1.107361,-0.00525,,0.106667,1.175587,-0.00525,,0.106667,0.955165,-0.00525,,0.106667,1.301543,-0.00525,,0.053333,0.608786,0
0.113333,-1.165091,0.00525,,0.113333,-1.13885,0.00525,,0.113333,-0.750487,0.00525,,0.113333,0.220423,0,,0.113333,1.086369,-0.00525,,0.113333,1.159843,-0.00525,,0.113333,0.93942,-0.00525,,0.113333,1.285799,-0.00525,,0.056667,0.603538,0
0.12,-1.159843,0.010501,,0.12,-1.133602,0.00525,,0.12,-0.771479,0.010501,,0.12,0.188934,0,,0.12,1.065376,-0.00525,,0.12,1.133602,-0.00525,,0.12,0.918428,-0.00525,,0.12,1.270054,-0.00525,,0.06,0.59829,-0.00525
0.126667,-1.159843,0.00525,,0.126667,-1.128354,0.00525,,0.126667,-0.787224,0.00525,,0.126667,0.162693,0,,0.126667,1.044383,-0.00525,,0.126667,1.117858,0,,0.126667,0.897435,-0.00525,,0.126667,1.249062,-0.00525,,0.063333,0.582546,-0.00525
0.133333,-1.154595,0.00525,,0.133333,-1.117858,0.00525,,0.133333,-0.808216,0.010501,,0.133333,0.136452,0,,0.133333,1.018143,-0.00525,,0.133333,1.096865,0,,0.133333,0.876442,-0.00525,,0.133333,1.228069,-0.00525,,0.066667,0.577297,-0.00525
0.14,-1.154595,0.00525,,0.14,-1.11261,0.00525,,0.14,-0.823961,0.00525,,0.14,0.104963,0,,0.14,0.99715,-0.00525,,0.14,1.075872,-0.00525,,0.14,0.85545,0,,0.14,1.212325,-0.00525,,0.07,0.566801,-0.00525
0.146667,-1.149347,0.00525,,0.146667,-1.102113,0.00525,,0.146667,-0.839705,0.00525,,0.146667,0.078722,-0.00525,,0.146667,0.970909,-0.00525,,0.146667,1.060128,-0.00525,,0.146667,0.834457,-0.00525,,0.146667,1.191332,-0.00525,,0.073333,0.551057,-0.00525
0.153333,-1.144098,0.00525,,0.153333,-1.096865,0.00525,,0.153333,-0.85545,0.00525,,0.153333,0.052482,0,,0.153333,0.955165,-0.00525,,0.153333,1.033887,-0.00525,,0.153333,0.813465,0,,0.153333,1.170339,-0.00525,,0.076667,0.545808,0
0.16,-1.13885,0.00525,,0.16,-1.081121,0.00525,,0.16,-0.871194,0.00525,,0.16,0.020993,0,,0.16,0.928924,-0.00525,,0.16,1.012895,-0.00525,,0.16,0.792472,-0.00525,,0.16,1.154595,0,,0.08,0.54056,0
0.166667,-1.133602,0.00525,,0.166667,-1.081121,0.00525,,0.166667,-0.881691,0.00525,,0.166667,-0.010496,-0.00525,,0.166667,0.907931,-0.00525,,0.166667,0.991902,-0.00525,,0.166667,0.771479,-0.00525,,0.166667,1.133602,-0.00525,,0.083333,0.530064,-0.00525
0.173333,-1.123106,0.00525,,0.173333,-1.065376,0.00525,,0.173333,-0.897435,0.00525,,0.173333,-0.036737,0.010501,,0.173333,0.881691,0,,0.173333,0.976157,-0.00525,,0.173333,0.745238,-0.00525,,0.173333,1.11261,-0.00525,,0.086667,0.519568,0
0.18,-1.117858,0.010501,,0.18,-1.060128,0.00525,,0.18,-0.91318,0.00525,,0.18,-0.068226,-0.00525,,0.18,0.860698,-0.00525,,0.18,0.955165,-0.00525,,0.18,0.729494,0,,0.18,1.091617,-0.00525,,0.09,0.509071,-0.00525
0.186667,-1.11261,0.00525,,0.186667,-1.044383,0.00525,,0.186667,-0.928924,0.00525,,0.186667,-0.099715,0,,0.186667,0.839705,-0.00525,,0.186667,0.934172,-0.00525,,0.186667,0.703253,-0.00525,,0.186667,1.075872,-0.00525,,0.093333,0.498575,-0.00525
0.193333,-1.107361,0.00525,,0.193333,-1.033887,0.00525,,0.193333,-0.93942,0.00525,,0.193333,-0.125956,0,,0.193333,0.813465,-0.00525,,0.193333,0.91318,-0.00525,,0.193333,0.677012,-0.00525,,0.193333,1.049632,-0.00525,,0.096667,0.493327,0
0.2,-1.096865,0.00525,,0.2,-1.023391,0.00525,,0.2,-0.949917,0.00525,,0.2,-0.157445,-0.00525,,0.2,0.787224,-0.00525,,0.2,0.886939,0,,0.2,0.661268,-0.00525,,0.2,1.033887,-0.00525,,0.1,0.482831,-0.00525
0.206667,-1.086369,0.00525,,0.206667,-1.012895,0.00525,,0.206667,-0.960413,0.00525,,0.206667,-0.188934,0,,0.206667,0.766231,-0.00525,,0.206667,0.865946,-0.00525,,0.206667,0.640275,-0.00525,,0.206667,1.007646,-0.00525,,0.103333,0.467086,-0.00525
0.213333,-1.081121,0.00525,,0.213333,-1.002398,0.00525,,0.213333,-0.976157,0.00525,,0.213333,-0.209926,0,,0.213333,0.73999,-0.00525,,0.213333,0.839705,-0.00525,,0.213333,0.614035,0,,0.213333,0.986654,-0.00525,,0.106667,0.461838,-0.00525
0.22,-1.070624,0.00525,,0.22,-0.986654,0.00525,,0.22,-0.986654,0.00525,,0.22,-0.246663,0,,0.22,0.718998,-0.00525,,0.22,0.823961,0,,0.22,0.593042,0,,0.22,0.970909,-0.00525,,0.11,0.451342,-0.00525
0.226667,-1.060128,0.00525,,0.226667,-0.976157,0.00525,,0.226667,-0.99715,0.00525,,0.226667,-0.272904,0,,0.226667,0.692757,-0.00525,,0.226667,0.802968,-0.00525,,0.226667,0.577297,-0.00525,,0.226667,0.949917,-0.00525,,0.113333,0.435597,-0.00525
0.233333,-1.049632,0.00525,,0.233333,-0.960413,0.010501,,0.233333,-1.007646,0.00525,,0.233333,-0.299145,0,,0.233333,0.666516,-0.00525,,0.233333,0.781976,-0.00525,,0.233333,0.551057,-0.00525,,0.233333,0.928924,0,,0.116667,0.430349,0
0.24,-1.039135,0.00525,,0.24,-0.949917,0.00525,,0.24,-1.012895,0.00525,,0.24,-0.325386,0,,0.24,0.640275,-0.00525,,0.24,0.755735,0,,0.24,0.530064,-0.00525,,0.24,0.907931,-0.00525,,0.12,0.425101,0
0.246667,-1.033887,0.00525,,0.246667,-0.928924,0.00525,,0.246667,-1.023391,0.00525,,0.246667,-0.356875,0,,0.246667,0.614035,-0.00525,,0.246667,0.734742,0,,0.246667,0.509071,-0.00525,,0.246667,0.886939,-0.00525,,0.123333,0.414605,0
0.253333,-1.018143,0,,0.253333,-0.918428,0.00525,,0.253333,-1.028639,0.00525,,0.253333,-0.383116,0,,0.253333,0.587794,-0.00525,,0.253333,0.71375,-0.00525,,0.253333,0.482831,-0.00525,,0.253333,0.865946,-0.00525,,0.126667,0.404108,-0.00525
0.26,-1.002398,0.00525,,0.26,-0.902683,0.00525,,0.26,-1.044383,0.010501,,0.26,-0.409356,0,,0.26,0.572049,0,,0.26,0.687509,-0.00525,,0.26,0.467086,-0.00525,,0.26,0.844953,-0.00525,,0.13,0.393612,-0.00525
0.266667,-0.99715,0.00525,,0.266667,-0.881691,0.00525,,0.266667,-1.049632,0.00525,,0.266667,-0.430349,0,,0.266667,0.54056,-0.00525,,0.266667,0.666516,0,,0.266667,0.440845,-0.00525,,0.266667,0.823961,-0.00525,,0.133333,0.383116,0
0.273333,-0.981406,0.00525,,0.273333,-0.871194,0,,0.273333,-1.05488,0.010501,,0.273333,-0.45659,0,,0.273333,0.51432,-0.00525,,0.273333,0.640275,-0.00525,,0.273333,0.419853,-0.00525,,0.273333,0.79772,-0.00525,,0.136667,0.372619,0
0.28,-0.965661,0.00525,,0.28,-0.85545,0.00525,,0.28,-1.060128,0.00525,,0.28,-0.482831,0.00525,,0.28,0.493327,-0.00525,,0.28,0.619283,-0.00525,,0.28,0.39886,-0.00525,,0.28,0.781976,-0.00525,,0.14,0.367371,-0.00525
0.286667,-0.955165,0.00525,,0.286667,-0.834457,0.00525,,0.286667,-1.065376,0.010501,,0.286667,-0.509071,0.00525,,0.286667,0.467086,-0.00525,,0.286667,0.59829,0,,0.286667,0.372619,-0.00525,,0.286667,0.760983,-0.00525,,0.143333,0.356875,0
0.293333,-0.93942,0.00525,,0.293333,-0.818713,0.00525,,0.293333,-1.070624,0.010501,,0.293333,-0.524816,0.00525,,0.293333,0.435597,-0.00525,,0.293333,0.577297,-0.00525,,0.293333,0.346378,-0.00525,,0.293333,0.73999,-0.00525,,0.146667,0.346378,-0.00525
0.3,-0.928924,0.00525,,0.3,-0.802968,0.00525,,0.3,-1.075872,0.00525,,0.3,-0.551057,0,,0.3,0.414605,0,,0.3,0.551057,0,,0.3,0.330634,-0.00525,,0.3,0.718998,-0.00525,,0.15,0.335882,-0.00525
0.306667,-0.91318,0.00525,,0.306667,-0.787224,0.00525,,0.306667,-1.081121,0.00525,,0.306667,-0.577297,0,,0.306667,0.383116,-0.00525,,0.306667,0.530064,-0.00525,,0.306667,0.304393,-0.00525,,0.306667,0.698005,-0.00525,,0.153333,0.325386,-0.00525
0.313333,-0.897435,0.00525,,0.313333,-0.766231,0.00525,,0.313333,-1.081121,0.00525,,0.313333,-0.59829,0.00525,,0.313333,0.356875,-0.00525,,0.313333,0.503823,-0.00525,,0.313333,0.283401,0,,0.313333,0.677012,0,,0.156667,0.314889,-0.00525
0.32,-0.881691,0.00525,,0.32,-0.750487,0.00525,,0.32,-1.086369,0.00525,,0.32,-0.619283,0.00525,,0.32,0.330634,-0.00525,,0.32,0.482831,-0.00525,,0.32,0.262408,0,,0.32,0.65602,-0.00525,,0.16,0.309641,0
0.326667,-0.865946,0.00525,,0.326667,-0.729494,0.00525,,0.326667,-1.091617,0.00525,,0.326667,-0.640275,0.00525,,0.326667,0.304393,-0.00525,,0.326667,0.45659,-0.00525,,0.326667,0.236167,0,,0.326667,0.635027,0,,0.163333,0.304393,0
0.333333,-0.850202,0.00525,,0.333333,-0.708501,0.00525,,0.333333,-1.091617,0.00525,,0.333333,-0.65602,0.00525,,0.333333,0.272904,-0.00525,,0.333333,0.430349,-0.00525,,0.333333,0.209926,-0.00525,,0.333333,0.614035,-0.00525,,0.166667,0.288649,0
0.34,-0.829209,0.00525,,0.34,-0.692757,0.00525,,0.34,-1.096865,0.00525,,0.34,-0.677012,0.00525,,0.34,0.246663,0,,0.34,0.409356,0,,0.34,0.188934,0,,0.34,0.587794,-0.00525,,0.17,0.283401,-0.00525
0.346667,-0.813465,0.00525,,0.346667,-0.671764,0.00525,,0.346667,-1.096865,0.00525,,0.346667,-0.698005,0.00525,,0.346667,0.220423,0,,0.346667,0.383116,0,,0.346667,0.167941,0,,0.346667,0.566801,0,,0.173333,0.272904,0
0.353333,-0.792472,0.00525,,0.353333,-0.645523,0.00525,,0.353333,-1.102113,0.010501,,0.353333,-0.708501,0,,0.353333,0.183686,-0.00525,,0.353333,0.356875,-0.00525,,0.353333,0.1417,0,,0.353333,0.545808,-0.00525,,0.176667,0.262408,0
0.36,-0.781976,0.00525,,0.36,-0.629779,0.00525,,0.36,-1.096865,0.00525,,0.36,-0.729494,0.00525,,0.36,0.162693,-0.00525,,0.36,0.330634,0,,0.36,0.120708,0,,0.36,0.530064,-0.00525,,0.18,0.25716,0
0.366667,-0.760983,0.00525,,0.366667,-0.608786,0.00525,,0.366667,-1.102113,0.00525,,0.366667,-0.745238,0.00525,,0.366667,0.131204,-0.00525,,0.366667,0.309641,-0.00525,,0.366667,0.099715,0,,0.366667,0.51432,-0.00525,,0.183333,0.246663,-0.00525
0.373333,-0.73999,0.00525,,0.373333,-0.587794,0.00525,,0.373333,-1.102113,0.00525,,0.373333,-0.760983,0.00525,,0.373333,0.099715,0,,0.373333,0.283401,-0.00525,,0.373333,0.073474,0,,0.373333,0.488079,-0.00525,,0.186667,0.236167,0
0.38,-0.724246,0.00525,,0.38,-0.561553,0.00525,,0.38,-1.096865,0.00525,,0.38,-0.776727,0.00525,,0.38,0.073474,0,,0.38,0.25716,0,,0.38,0.052482,0,,0.38,0.467086,-0.00525,,0.19,0.225671,0
0.386667,-0.703253,0.00525,,0.386667,-0.54056,0.00525,,0.386667,-1.096865,0.010501,,0.386667,-0.792472,0.00525,,0.386667,0.047233,0,,0.386667,0.236167,-0.00525,,0.386667,0.031489,-0.00525,,0.386667,0.446093,-0.00525,,0.193333,0.220423,0
0.393333,-0.682261,0.00525,,0.393333,-0.519568,0.00525,,0.393333,-1.096865,0.00525,,0.393333,-0.802968,0.00525,,0.393333,0.020993,0,,0.393333,0.204678,0,,0.393333,0.010496,0,,0.393333,0.425101,0,,0.196667,0.209926,-0.00525
0.4,-0.661268,0.00525,,0.4,-0.493327,0.00525,,0.4,-1.096865,0,,0.4,-0.818713,0.00525,,0.4,-0.010496,0,,0.4,0.178437,0,,0.4,-0.010496,0,,0.4,0.404108,-0.00525,,0.2,0.19943,-0.00525
0.406667,-0.640275,0.010501,,0.406667,-0.467086,0.00525,,0.406667,-1.091617,0.00525,,0.406667,-0.834457,0.00525,,0.406667,-0.036737,-0.00525,,0.406667,0.157445,0,,0.406667,-0.031489,0,,0.406667,0.377867,-0.00525,,0.203333,0.183686,0
0.413333,-0.619283,0.00525,,0.413333,-0.440845,0.00525,,0.413333,-1.086369,0.00525,,0.413333,-0.844953,0.010501,,0.413333,-0.068226,0,,0.413333,0.131204,-0.00525,,0.413333,-0.05773,-0.00525,,0.413333,0.356875,0,,0.206667,0.178437,0
0.42,-0.59829,0.00525,,0.42,-0.425101,0.00525,,0.42,-1.086369,0.00525,,0.42,-0.860698,0.00525,,0.42,-0.094467,0,,0.42,0.104963,-0.00525,,0.42,-0.078722,-0.00525,,0.42,0.34113,-0.00525,,0.21,0.167941,0
0.426667,-0.577297,0.00525,,0.426667,-0.393612,0.00525,,0.426667,-1.081121,0.00525,,0.426667,-0.871194,0.00525,,0.426667,-0.125956,0,,0.426667,0.083971,0,,0.426667,-0.099715,0,,0.426667,0.320138,0,,0.213333,0.162693,0
0.433333,-0.551057,0.00525,,0.433333,-0.372619,0.00525,,0.433333,-1.081121,0.010501,,0.433333,-0.881691,0.00525,,0.433333,-0.157445,0,,0.433333,0.052482,0,,0.433333,-0.120708,0,,0.433333,0.293897,0,,0.216667,0.157445,0
0.44,-0.524816,0.00525,,0.44,-0.346378,0.00525,,0.44,-1.070624,0.010501,,0.44,-0.897435,0.00525,,0.44,-0.178437,0,,0.44,0.031489,0,,0.44,-0.1417,0,,0.44,0.272904,0,,0.22,0.146948,0
0.446667,-0.503823,0.00525,,0.446667,-0.325386,0.00525,,0.446667,-1.070624,0.00525,,0.446667,-0.907931,0.00525,,0.446667,-0.209926,0,,0.446667,0.005248,0,,0.446667,-0.157445,0,,0.446667,0.251912,-0.00525,,0.223333,0.136452,0
0.453333,-0.482831,0.00525,,0.453333,-0.293897,0.00525,,0.453333,-1.065376,0.010501,,0.453333,-0.91318,0.00525,,0.453333,-0.241415,0,,0.453333,-0.015744,0,,0.453333,-0.183686,0,,0.453333,0.230919,0,,0.226667,0.125956,-0.00525
0.46,-0.45659,0.00525,,0.46,-0.272904,0.00525,,0.46,-1.065376,0.00525,,0.46,-0.923676,0.00525,,0.46,-0.262408,0,,0.46,-0.047233,0,,0.46,-0.19943,-0.00525,,0.46,0.215174,0,,0.23,0.115459,0
0.466667,-0.435597,0.00525,,0.466667,-0.246663,0,,0.466667,-1.05488,0.00525,,0.466667,-0.934172,0.00525,,0.466667,-0.293897,0,,0.466667,-0.073474,-0.00525,,0.466667,-0.220423,0,,0.466667,0.188934,-0.00525,,0.233333,0.110211,0
0.473333,-0.404108,0.00525,,0.473333,-0.220423,0.00525,,0.473333,-1.049632,0.010501,,0.473333,-0.944668,0.00525,,0.473333,-0.320138,0,,0.473333,-0.094467,-0.00525,,0.473333,-0.236167,-0.00525,,0.473333,0.167941,-0.00525,,0.236667,0.099715,-0.00525
0.48,-0.377867,0.010501,,0.48,-0.194182,0.00525,,0.48,-1.039135,0.010501,,0.48,-0.949917,0.00525,,0.48,-0.346378,0.00525,,0.48,-0.125956,-0.00525,,0.48,-0.25716,0,,0.48,0.152197,0,,0.24,0.094467,0
0.486667,-0.356875,0.00525,,0.486667,-0.167941,0.00525,,0.486667,-1.039135,0.00525,,0.486667,-0.955165,0.00525,,0.486667,-0.367371,0,,0.486667,-0.1417,0,,0.486667,-0.272904,0,,0.486667,0.131204,0,,0.243333,0.083971,-0.00525
0.493333,-0.335882,0.00525,,0.493333,-0.146948,0.00525,,0.493333,-1.028639,0.010501,,0.493333,-0.965661,0.00525,,0.493333,-0.393612,0.00525,,0.493333,-0.173189,0,,0.493333,-0.293897,0,,0.493333,0.104963,0,,0.246667,0.078722,0
0.5,-0.304393,0.00525,,0.5,-0.120708,0,,0.5,-1.018143,0.00525,,0.5,-0.970909,0.00525,,0.5,-0.419853,0,,0.5,-0.194182,0,,0.5,-0.309641,0,,0.5,0.089219,-0.00525,,0.25,0.068226,0
0.506667,-0.283401,0.00525,,0.506667,-0.089219,0,,0.506667,-1.007646,0.00525,,0.506667,-0.976157,0.010501,,0.506667,-0.440845,0,,0.506667,-0.215174,0,,0.506667,-0.325386,0.00525,,0.506667,0.068226,0,,0.253333,0.05773,-0.00525
0.513333,-0.251912,0.00525,,0.513333,-0.068226,0.00525,,0.513333,-1.002398,0.00525,,0.513333,-0.986654,0.00525,,0.513333,-0.467086,0,,0.513333,-0.241415,0,,0.513333,-0.346378,0,,0.513333,0.047233,0,,0.256667,0.052482,0
0.52,-0.225671,0.00525,,0.52,-0.041985,0.00525,,0.52,-0.991902,0.00525,,0.52,-0.986654,0.00525,,0.52,-0.488079,0.00525,,0.52,-0.262408,0,,0.52,-0.356875,0.00525,,0.52,0.031489,0,,0.26,0.041985,-0.00525
0.526667,-0.19943,0.00525,,0.526667,-0.020993,0,,0.526667,-0.981406,0.00525,,0.526667,-0.991902,0.00525,,0.526667,-0.509071,0,,0.526667,-0.283401,0.00525,,0.526667,-0.377867,0.00525,,0.526667,0.010496,0,,0.263333,0.036737,0
0.533333,-0.173189,0.00525,,0.533333,0.010496,0,,0.533333,-0.976157,0.010501,,0.533333,-0.99715,0.00525,,0.533333,-0.530064,0,,0.533333,-0.304393,0,,0.533333,-0.388364,0.00525,,0.533333,-0.005248,0,,0.266667,0.031489,0
0.54,-0.1417,0.00525,,0.54,0.031489,0.00525,,0.54,-0.960413,0.010501,,0.54,-1.002398,0.00525,,0.54,-0.556305,0.00525,,0.54,-0.330634,0,,0.54,-0.404108,0,,0.54,-0.026241,0,,0.27,0.020993,0
0.546667,-0.120708,0,,0.546667,0.052482,0.00525,,0.546667,-0.949917,0.00525,,0.546667,-1.002398,0.00525,,0.546667,-0.572049,0.00525,,0.546667,-0.346378,0.00525,,0.546667,-0.419853,0,,0.546667,-0.047233,0,,0.273333,0.015744,0
0.553333,-0.094467,0.00525,,0.553333,0.083971,0.00525,,0.553333,-0.93942,0.00525,,0.553333,-1.007646,0.00525,,0.553333,-0.593042,0.00525,,0.553333,-0.367371,0.00525,,0.553333,-0.430349,0,,0.553333,-0.062978,0,,0.276667,0.005248,0
0.56,-0.068226,0.00525,,0.56,0.104963,0,,0.56,-0.928924,0.00525,,0.56,-1.007646,0.00525,,0.56,-0.614035,0.00525,,0.56,-0.388364,0,,0.56,-0.446093,0.00525,,0.56,-0.083971,0,,0.28,0,0
0.566667,-0.047233,0,,0.566667,0.125956,0,,0.566667,-0.918428,0.00525,,0.566667,-1.012895,0.00525,,0.566667,-0.635027,0.00525,,0.566667,-0.409356,0.00525,,0.566667,-0.461838,0.00525,,0.566667,-0.104963,0,,0.283333,-0.010496,0
0.573333,-0.005248,0.00525,,0.573333,0.146948,0.00525,,0.573333,-0.907931,0.015751,,0.573333,-1.012895,0.00525,,0.573333,-0.650772,0.00525,,0.573333,-0.430349,0,,0.573333,-0.472334,0,,0.573333,-0.120708,0,,0.286667,-0.020993,-0.00525
0.58,0.010496,0.00525,,0.58,0.167941,0,,0.58,-0.892187,0.00525,,0.58,-1.018143,0.00525,,0.58,-0.666516,0.00525,,0.58,-0.446093,0,,0.58,-0.488079,0.00525,,0.58,-0.136452,0,,0.29,-0.020993,0
0.586667,0.031489,0.00525,,0.586667,0.188934,0.00525,,0.586667,-0.876442,0.00525,,0.586667,-1.018143,0.010501,,0.586667,-0.682261,0.00525,,0.586667,-0.461838,0,,0.586667,-0.498575,0.00525,,0.586667,-0.157445,0,,0.293333,-0.036737,0
0.593333,0.05773,0.00525,,0.593333,0.215174,0.00525,,0.593333,-0.865946,0.00525,,0.593333,-1.018143,0.00525,,0.593333,-0.698005,0,,0.593333,-0.482831,0.00525,,0.593333,-0.509071,0.00525,,0.593333,-0.173189,0,,0.296667,-0.041985,0
0.6,0.083971,0.00525,,0.6,0.230919,0,,0.6,-0.850202,0.00525,,0.6,-1.012895,0,,0.6,-0.71375,0,,0.6,-0.498575,0.00525,,0.6,-0.519568,0.00525,,0.6,-0.188934,0,,0.3,-0.047233,0
0.606667,0.104963,0.00525,,0.606667,0.251912,0,,0.606667,-0.839705,0.010501,,0.606667,-1.018143,0.00525,,0.606667,-0.729494,0.00525,,0.606667,-0.51432,0.00525,,0.606667,-0.530064,0.00525,,0.606667,-0.204678,0,,0.303333,-0.05773,0
0.613333,0.131204,0,,0.613333,0.272904,0,,0.613333,-0.823961,0.00525,,0.613333,-1.018143,0.00525,,0.613333,-0.745238,0,,0.613333,-0.530064,0,,0.613333,-0.54056,0.00525,,0.613333,-0.220423,0,,0.306667,-0.062978,0
0.62,0.157445,0.00525,,0.62,0.293897,0,,0.62,-0.808216,0.00525,,0.62,-1.012895,0.00525,,0.62,-0.755735,0.00525,,0.62,-0.545808,0,,0.62,-0.551057,0.00525,,0.62,-0.236167,0,,0.31,-0.068226,0
0.626667,0.178437,0.00525,,0.626667,0.309641,0,,0.626667,-0.79772,0.010501,,0.626667,-1.012895,0.00525,,0.626667,-0.771479,0.00525,,0.626667,-0.556305,0,,0.626667,-0.561553,0.00525,,0.626667,-0.251912,0,,0.313333,-0.078722,0
0.633333,0.19943,0.00525,,0.633333,0.335882,0,,0.633333,-0.776727,0.00525,,0.633333,-1.012895,0.00525,,0.633333,-0.776727,0,,0.633333,-0.577297,0.00525,,0.633333,-0.566801,0,,0.633333,-0.262408,0,,0.316667,-0.083971,0
0.64,0.225671,0,,0.64,0.351627,0,,0.64,-0.766231,0.010501,,0.64,-1.007646,0.00525,,0.64,-0.79772,0.00525,,0.64,-0.593042,0.00525,,0.64,-0.577297,0.00525,,0.64,-0.278152,0,,0.32,-0.089219,0
0.646667,0.246663,0,,0.646667,0.372619,0,,0.646667,-0.745238,0.010501,,0.646667,-1.007646,0.00525,,0.646667,-0.802968,0,,0.646667,-0.603538,0.00525,,0.646667,-0.582546,0.00525,,0.646667,-0.293897,0,,0.323333,-0.094467,0
