t (s)	U1(V)	U2(V)
0,000000	-0,278152	0,021002
0,006667	-0,272904	0,026252
0,013333	-0,267656	0,026252
0,020000	-0,267656	0,031502
0,026667	-0,257160	0,026252
0,033333	-0,257160	0,026252
0,040000	-0,251912	0,026252
0,046667	-0,241415	0,031502
0,053333	-0,241415	0,031502
0,060000	-0,236167	0,026252
0,066667	-0,225671	0,031502
0,073333	-0,225671	0,031502
0,080000	-0,220423	0,031502
0,086667	-0,215174	0,031502
0,093333	-0,204678	0,031502
0,100000	-0,199430	0,031502
0,106667	-0,194182	0,031502
0,113333	-0,188934	0,031502
0,120000	-0,183686	0,036753
0,126667	-0,173189	0,031502
0,133333	-0,167941	0,036753
0,140000	-0,162693	0,036753
0,146667	-0,152197	0,036753
0,153333	-0,146948	0,031502
0,160000	-0,136452	0,036753
0,166667	-0,131204	0,036753
0,173333	-0,125956	0,036753
0,180000	-0,115459	0,036753
0,186667	-0,104963	0,036753
0,193333	-0,104963	0,036753
0,200000	-0,094467	0,036753
0,206667	-0,083971	0,036753
0,213333	-0,078722	0,036753
0,220000	-0,073474	0,036753
0,226667	-0,062978	0,036753
0,233333	-0,057730	0,036753
0,240000	-0,047233	0,036753
0,246667	-0,036737	0,036753
0,253333	-0,031489	0,036753
0,260000	-0,020993	0,031502
0,266667	-0,015744	0,036753
0,273333	-0,010496	0,036753
0,280000	-0,000000	0,036753
0,286667	0,010496	0,036753
0,293333	0,020993	0,031502
0,300000	0,026241	0,036753
0,306667	0,036737	0,036753
0,313333	0,041985	0,036753
0,320000	0,052482	0,036753
0,326667	0,057730	0,036753
0,333333	0,068226	0,036753
0,340000	0,073474	0,036753
0,346667	0,083971	0,031502
0,353333	0,089219	0,031502
0,360000	0,099715	0,036753
0,366667	0,110211	0,031502
0,373333	0,115459	0,036753
0,380000	0,125956	0,031502
0,386667	0,131204	0,031502
0,393333	0,141700	0,031502
0,400000	0,146948	0,031502
0,406667	0,157445	0,026252
0,413333	0,162693	0,026252
0,420000	0,167941	0,031502
0,426667	0,178437	0,031502
0,433333	0,183686	0,036753
0,440000	0,194182	0,026252
0,446667	0,199430	0,026252
0,453333	0,209926	0,026252
0,460000	0,215174	0,026252
0,466667	0,220423	0,026252
0,473333	0,230919	0,026252
0,480000	0,236167	0,026252
0,486667	0,241415	0,026252
0,493333	0,251912	0,026252
0,500000	0,257160	0,026252
0,506667	0,267656	0,021002
0,513333	0,267656	0,021002
0,520000	0,272904	0,021002
0,526667	0,283401	0,021002
0,533333	0,288649	0,021002
0,540000	0,293897	0,021002
0,546667	0,299145	0,015751
0,553333	0,304393	0,015751
0,560000	0,309641	0,015751
0,566667	0,314889	0,021002
0,573333	0,314889	0,015751
0,580000	0,320138	0,015751
0,586667	0,325386	0,015751
0,593333	0,330634	0,015751
0,600000	0,335882	0,015751
0,606667	0,341130	0,015751
0,613333	0,346378	0,015751
0,620000	0,346378	0,010501
0,626667	0,351627	0,010501
0,633333	0,356875	0,010501
0,640000	0,356875	0,010501
0,646667	0,362123	0,010501
0,653333	0,367371	0,005250
0,660000	0,367371	0,005250
0,666667	0,367371	0,005250
0,673333	0,372619	0,010501
0,680000	0,372619	0,005250
0,686667	0,377867	0,005250
0,693333	0,377867	0,005250
0,700000	0,377867	0,000000
0,706667	0,377867	0,000000
0,713333	0,383116	0,000000
0,720000	0,383116	0,000000
0,726667	0,383116	0,000000
0,733333	0,383116	0,000000
0,740000	0,383116	0,000000
0,746667	0,383116	0,000000
0,753333	0,383116	-0,005250
0,760000	0,383116	-0,005250
0,766667	0,383116	-0,005250
0,773333	0,383116	-0,005250
0,780000	0,383116	-0,010501
0,786667	0,383116	-0,005250
0,793333	0,377867	-0,010501
0,800000	0,377867	-0,010501
0,806667	0,377867	-0,010501
0,813333	0,372619	-0,010501
0,820000	0,372619	-0,010501
0,826667	0,372619	-0,010501
0,833333	0,367371	-0,010501
0,840000	0,367371	-0,010501
0,846667	0,367371	-0,010501
0,853333	0,362123	-0,015751
0,860000	0,362123	-0,015751
0,866667	0,356875	-0,015751
0,873333	0,351627	-0,015751
0,880000	0,346378	-0,021002
0,886667	0,346378	-0,015751
0,893333	0,341130	-0,021002
0,900000	0,341130	-0,021002
0,906667	0,335882	-0,021002
0,913333	0,325386	-0,015751
0,920000	0,325386	-0,021002
0,926667	0,320138	-0,021002
0,933333	0,314889	-0,021002
0,940000	0,309641	-0,021002
0,946667	0,304393	-0,021002
0,953333	0,299145	-0,026252
0,960000	0,293897	-0,026252
0,966667	0,288649	-0,026252
0,973333	0,283401	-0,026252
