Distance / cm,Voltage / V
8,316
9,135
10,194
11,56
12,109
13,39
14,67
15,44
16,33
8.5,126
9.5,185
10.5,154
11.5,77
12.5,102
8.25,216
8.75,262
9.25,83
9.75,95
