Time (s),Gyroscope x (rad/s)
4.367899369,0.003665191587
4.369991573,0.003665191587
4.372068569,0.004886921961
4.374156806,0.006108652335
4.376243008,0.006108652335
4.378338528,0.007330383174
4.3804029,0.008552113548
4.382492551,0.007330383174
4.384590563,0.008552113548
4.386682501,0.0109955743
4.388770504,0.0109955743
4.390855394,0.01221730467
4.39294238,0.01343903504
4.395030576,0.01343903504
4.397118181,0.0171042271
4.399203682,0.0171042271
4.401291094,0.01832595654
4.403377998,0.01954768784
4.405464028,0.01954768784
4.407542559,0.02076941915
4.409626564,0.02076941915
4.411720985,0.02076941915
4.41381851,0.01832595654
4.415905709,0.02076941915
4.417988573,0.0232128799
4.42006446,0.02443460934
4.42216583,0.02687807009
4.424253152,0.02809980139
4.426339435,0.0293215327
4.428410876,0.03298672289
4.430499092,0.03558290005
4.432588895,0.03680463135
4.434689776,0.03909537569
4.436766273,0.04276056588
4.438866972,0.04657847434
4.440951617,0.04780020565
4.443041624,0.04902193695
4.445126962,0.05253441259
4.447214861,0.05513058975
4.449301227,0.05757404864
4.451388304,0.06246097013
4.453474944,0.06612616032
4.455561828,0.06979135424
4.457644031,0.07101308554
4.459724252,0.07467827946
4.461825081,0.07834346592
4.463914407,0.08200865984
4.46600302,0.08445212245
4.468086394,0.08933904022
4.470173521,0.09178250283
4.472261514,0.09544769675
4.474349893,0.09911288321
4.476436035,0.1027780771
4.478517383,0.1076650023
4.480580098,0.1113301888
4.482685241,0.1151480973
4.484785074,0.1188132912
4.486879363,0.123700209
4.488963592,0.1249219403
4.491048715,0.1310305893
4.493134978,0.133474052
4.495222452,0.1371392459
4.49731023,0.1408044398
4.499397318,0.1469130963
4.501485015,0.1493565589
4.503571136,0.1530217379
4.505656229,0.1579086632
4.507732838,0.1615738571
4.509820414,0.1676825136
4.511915975,0.1701259762
4.513984934,0.1750128865
4.516074667,0.1786780804
4.518168792,0.184939459
4.520260965,0.1884519309
4.522348653,0.1945605874
4.524434285,0.1983784884
4.526519756,0.2044871449
4.528602702,0.2081523389
4.530687124,0.2118175179
4.532782796,0.2167044431
4.534870993,0.2215913683
4.53695993,0.2277000248
4.539043275,0.2313652188
4.54112611,0.2362521291
4.543219361,0.2423607856
4.54530714,0.2484694421
4.547394369,0.2521346211
4.549471477,0.2570215464
4.551569041,0.2643519342
4.553655946,0.2680171132
4.555746523,0.2741257846
4.557831961,0.2814561725
4.559920136,0.2875648141
4.562013164,0.29138273
4.564094372,0.2999348342
4.566180787,0.3060434759
4.568266073,0.3109304011
4.570355206,0.3158173263
4.572442751,0.3219259977
4.574531007,0.3292563558
4.576617056,0.334143281
4.578704815,0.3414736688
4.580792665,0.3488040566
4.582879692,0.3536909819
4.584966585,0.3634648323
4.587053702,0.3709479272
4.589137066,0.3770565689
4.591208997,0.3843869567
4.59330237,0.3941608071
4.595403892,0.4002694488
4.597496797,0.4063780904
4.599581494,0.4137084782
4.601665916,0.4234823287
4.603752342,0.4308127165
4.605840396,0.4393648207
4.607928316,0.4491386712
4.610011752,0.456469059
4.612087883,0.4651738703
4.614181277,0.476169467
4.616279086,0.4859432876
4.618381991,0.4908302128
4.620468966,0.5018258095
4.622560784,0.5103778839
4.624666772,0.5213735104
4.62672511,0.5323690772
4.628813194,0.5409211516
4.630897921,0.5506950021
4.632998803,0.5616905689
4.635055382,0.5728389025
4.637162682,0.5838344693
4.639245568,0.5948300362
4.64134294,0.6046038866
4.643423801,0.6155994534
4.645511956,0.6278167367
4.647599948,0.6400340796
4.649686973,0.6522513628
4.651774356,0.6658431292
4.653859042,0.6780604124
4.655942183,0.6890559793
4.658036584,0.7000515461
4.660122928,0.7159340382
4.662207188,0.7305948138
4.664275944,0.7454082966
4.666372614,0.7576256394
4.668469669,0.7710646391
4.670539901,0.7881689072
4.672636448,0.8028296232
4.67472029,0.8187121153
4.676812676,0.8323038816
4.678897516,0.8481863737
4.680985508,0.8652906418
4.683072179,0.8811731339
4.685159479,0.8982773423
4.687246728,0.912938118
4.689331883,0.932638526
4.691412735,0.948521018
4.693505508,0.9668469429
4.695583226,0.9863946438
4.697687046,1.005942345
4.699771672,1.024420977
4.701862167,1.043968678
4.703945318,1.062294602
4.706033107,1.083064079
4.708121394,1.10261178
4.710207819,1.123533845
4.712295292,1.146746755
4.714380101,1.167516232
4.716460678,1.188285589
4.718568201,1.211651206
4.720644231,1.234864116
4.722735072,1.258077025
4.724817428,1.281289816
4.726906672,1.305877209
4.728994888,1.329089999
4.731083054,1.353524685
4.733168788,1.380555511
4.735253281,1.40743351
4.737332758,1.433089852
4.739431351,1.461189628
4.74151559,1.486998677
4.743594387,1.516320229
4.745692826,1.543198347
4.747780889,1.573894262
4.749871363,1.601994157
4.751955155,1.632537365
4.754041876,1.664455056
4.756129767,1.694998384
4.75821786,1.726763368
4.760304235,1.758681059
4.76239178,1.790446043
4.764480231,1.825876236
4.76656682,1.859015703
4.768651628,1.894445896
4.770735947,1.930028796
4.772842953,1.966680646
4.774931291,2.003332615
4.777019202,2.040137291
4.779097999,2.08045435
4.781177263,2.118480682
4.783277452,2.158797741
4.785364245,2.196671486
4.787454464,2.238363028
4.789539028,2.278680086
4.791628038,2.32281518
4.793713427,2.365575552
4.795801175,2.410932302
4.797889574,2.454914808
4.799972398,2.501493216
4.802050025,2.549140692
4.804149991,2.596940756
4.806237679,2.645810127
4.808329302,2.694832087
4.810413296,2.74370122
4.812500801,2.796388388
4.814587705,2.846479416
4.816670865,2.901609898
4.818745277,2.956740618
4.820842862,3.010496616
4.822964312,3.066848993
4.825028695,3.123048544
4.827114265,3.184287786
4.829192187,3.243083477
4.831286354,3.302948475
4.83337333,3.365409374
4.835460427,3.430313826
4.837547696,3.492774725
4.839638537,3.557526588
4.841732887,3.623652697
4.843800953,3.693444014
4.845913745,3.760791779
4.847980303,3.834248543
4.850067299,3.90403986
4.852156095,3.977496386
4.85424654,4.05202198
4.856336547,4.127922058
4.858422107,4.20626545
4.860508624,4.285830498
4.862596586,4.367839336
4.864682137,4.448626041
4.866757922,4.536743641
4.868857431,4.621348381
4.870939838,4.71068716
4.873016387,4.801248074
4.875121693,4.896848679
4.877207457,4.994739532
4.879300017,5.095227242
4.881382964,5.199379444
4.883470366,5.30948782
4.885556752,5.42341423
4.887643879,5.539783955
4.889731567,5.662109852
4.89181314,5.791918755
4.893878498,5.921575069
4.895994099,6.052605629
4.903913269,6.185926914
4.905743673,6.587112427
4.906768656,6.717990398
4.908842021,6.851311684
4.910915386,6.982189655
4.912988751,7.11184597
4.91527594,7.241502285
4.917363024,7.368714809
4.919776998,7.494858265
4.921312317,7.620849133
4.923399402,7.745771408
4.925486487,7.871914864
4.92754566,7.994240761
4.929598553,8.11916256
4.931648408,8.239197731
4.933693515,8.359232903
4.93573893,8.47682476
4.937784026,8.591819763
4.939829811,8.709411621
4.941920126,8.836624146
4.944004101,8.984605789
4.946092968,9.143889427
4.948165995,9.295689583
4.950239176,9.438937187
4.95235136,9.572257996
4.954447888,9.697027206
4.956561973,9.81324482
4.958616212,9.930530548
4.960701519,10.04430485
4.962782166,10.15181637
4.964877198,10.26314735
4.966964509,10.37203407
4.969051036,10.48580742
4.971137828,10.59958076
4.973218375,10.71946335
4.975287742,10.84194183
4.977401175,10.96304607
4.979488984,11.09041119
4.981582592,11.22632885
4.98366268,11.36713314
4.98574988,11.51526833
4.9878378,11.6621809
4.989924724,11.80787277
4.992013144,11.93523788
