Time (s),Gyroscope y (rad/s)
5.370509638,-0.009010262787
5.372587579,-0.01023199316
5.374690353,-0.01023199316
5.376768284,-0.01023199316
5.378839939,-0.01145372353
5.380948083,-0.01023199316
5.383035903,-0.01145372353
5.3851306,-0.01145372353
5.387206466,-0.01145372353
5.389270481,-0.01023199316
5.391358535,-0.01267545391
5.393447616,-0.01389718428
5.39554984,-0.01267545391
5.397637231,-0.01389718428
5.399720677,-0.01389718428
5.401793523,-0.01389718428
5.403897323,-0.01511891466
5.405983882,-0.01511891466
5.408075668,-0.01389718428
5.410158005,-0.01511891466
5.412245153,-0.01634064503
5.414332341,-0.01511891466
5.416419622,-0.01511891466
5.418507726,-0.01756237634
5.420593175,-0.01634064503
5.422672195,-0.01634064503
5.424769537,-0.01756237634
5.426853379,-0.01756237634
5.42894547,-0.01634064503
5.431029953,-0.01511891466
5.433118109,-0.01878410578
5.435203609,-0.01878410578
5.437286748,-0.01878410578
5.439379929,-0.02000583708
5.441466019,-0.01878410578
5.443546718,-0.02244929783
5.445630865,-0.02000583708
5.447728104,-0.02000583708
5.449816992,-0.02122756653
5.451905799,-0.01878410578
5.453992021,-0.02000583708
5.456077978,-0.02244929783
5.45816595,-0.02244929783
5.460251664,-0.02122756653
5.462341427,-0.02244929783
5.464436285,-0.02244929783
5.4665138,-0.02122756653
5.468601059,-0.02367102914
5.470683762,-0.02367102914
5.472763343,-0.02367102914
5.474853126,-0.02367102914
5.476937588,-0.02489275858
5.479027645,-0.02489275858
5.481115688,-0.02611448988
5.48320071,-0.02367102914
5.485284838,-0.02611448988
5.487377336,-0.02611448988
5.489470944,-0.02733621933
5.491580603,-0.02733621933
5.493649634,-0.02855795063
5.495736946,-0.02855795063
5.497818091,-0.02733621933
5.499909634,-0.02733621933
5.501996671,-0.03100141138
5.504081754,-0.02855795063
5.506159544,-0.03100141138
5.508259681,-0.02977968007
5.510345426,-0.02977968007
5.512435483,-0.02977968007
5.514519529,-0.03100141138
5.516605599,-0.03100141138
5.518689247,-0.03222314268
5.520783902,-0.03466660157
5.522869464,-0.03344487399
5.524958626,-0.03344487399
5.527044523,-0.03344487399
5.529134672,-0.03466660157
5.531217557,-0.03588833287
5.533304798,-0.03588833287
5.535388955,-0.03344487399
5.537470396,-0.03588833287
5.539567106,-0.03588833287
5.541654996,-0.03711006418
5.543743742,-0.03711006418
5.545831541,-0.03711006418
5.547927884,-0.03833179548
5.550003325,-0.03955352306
5.55208793,-0.03955352306
5.554165343,-0.04077525437
5.556265278,-0.04199698567
5.558353402,-0.04199698567
5.560441476,-0.04321871698
5.562526426,-0.04199698567
5.564613819,-0.04321871698
5.566698262,-0.04566217586
5.568775846,-0.04566217586
5.570863534,-0.04566217586
5.572951232,-0.04566217586
5.575042775,-0.04688390717
5.57712681,-0.04688390717
5.579214364,-0.04566217586
5.581301736,-0.04688390717
5.583390421,-0.04932736978
5.585477386,-0.05054909736
5.587565693,-0.04810563847
5.589650736,-0.05177082866
5.591738606,-0.05421429127
5.593824533,-0.05299255997
5.595912506,-0.05421429127
5.597999338,-0.05421429127
5.600086832,-0.05543602258
5.602174652,-0.05665775016
5.604261983,-0.05787948146
5.606348623,-0.05665775016
5.608436726,-0.05910121277
5.610522531,-0.05910121277
5.612610626,-0.06032294407
5.614697571,-0.06154467165
5.616784699,-0.06276640296
5.61887205,-0.06276640296
5.620960591,-0.06520986557
5.623049429,-0.06520986557
5.625147604,-0.06520986557
5.627233287,-0.06520986557
5.62931781,-0.06643159688
5.631394613,-0.07009678334
5.63349234,-0.07131851465
5.635577353,-0.07131851465
5.637657298,-0.07009678334
5.63974231,-0.07376197726
5.641842937,-0.07498370856
5.643931143,-0.07742717117
5.646019369,-0.07864890248
5.648102732,-0.07864890248
5.650187815,-0.07987063378
5.652268006,-0.07987063378
5.654367087,-0.08231408894
5.656452842,-0.08353582025
5.658543356,-0.08597928286
5.660626333,-0.08597928286
5.662713786,-0.08720101416
5.664801047,-0.08842274547
5.666888114,-0.09208793938
5.668975791,-0.09086620808
5.671063264,-0.09453139454
5.673148855,-0.09453139454
5.675235841,-0.09697485715
5.677314434,-0.09819658846
5.679412568,-0.09819658846
5.681499055,-0.1018617824
5.683588675,-0.1043052375
5.685673963,-0.1055269688
5.687761577,-0.1067487001
5.689848523,-0.1091921628
5.691933616,-0.1091921628
5.694012158,-0.1128573567
5.696110059,-0.1177442744
5.698197053,-0.1165225431
5.700286704,-0.1214094684
5.702371482,-0.1214094684
5.704459455,-0.1262963861
5.706546064,-0.1275181174
5.708633954,-0.1287398487
5.710720024,-0.1311833113
5.712804924,-0.1324050426
5.714884717,-0.1360702366
5.716979984,-0.1397354305
5.719057894,-0.1421788931
5.721149478,-0.1458440721
5.72323219,-0.1470658034
5.725322523,-0.1507309973
5.727407992,-0.1531744599
5.729496951,-0.1568396538
5.731583347,-0.1605048478
5.733671777,-0.1629483104
5.73575806,-0.1653917581
5.73784599,-0.1702786833
5.739933169,-0.1739438772
5.742023643,-0.1763873398
5.744100162,-0.1812742651
5.746195519,-0.1837177277
5.748281171,-0.1873829067
5.750370659,-0.1934915632
5.752456516,-0.1971567571
5.754543257,-0.2020436823
5.756630131,-0.2057088763
5.758717797,-0.2093740702
5.760804569,-0.2154827118
5.762892917,-0.2167044431
5.764981093,-0.2254092693
5.767072717,-0.2289217561
5.769154259,-0.2327396572
5.771242771,-0.240070045
5.773327041,-0.2449569702
5.775415929,-0.2498438805
5.777501102,-0.2547308207
5.779589135,-0.2620611787
5.781676945,-0.2657263875
5.78376512,-0.2706133127
5.785853571,-0.279165417
5.7879414,-0.282830596
5.790026005,-0.2926044464
5.792113703,-0.2974913716
5.794199061,-0.3048217595
5.796288121,-0.3109304011
5.798374495,-0.3194825351
5.8004626,-0.3255911767
5.802550735,-0.334143281
5.804638005,-0.3390302062
5.80672377,-0.350025773
5.808811436,-0.3561344445
5.810898432,-0.3646865487
5.812985611,-0.3720169365
5.81507221,-0.3805690408
5.817159327,-0.3878994286
5.819249272,-0.3988949955
5.821345932,-0.4074471295
5.82343305,-0.4184426963
