t (s)	U1(V)	U2(V)
0,000000	-0,031489	-0,036753
0,006667	-0,041985	-0,031502
0,013333	-0,052482	-0,036753
0,020000	-0,057730	-0,036753
0,026667	-0,062978	-0,036753
0,033333	-0,073474	-0,036753
0,040000	-0,083971	-0,031502
0,046667	-0,089219	-0,031502
0,053333	-0,099715	-0,036753
0,060000	-0,104963	-0,031502
0,066667	-0,115459	-0,031502
0,073333	-0,115459	-0,036753
0,080000	-0,125956	-0,036753
0,086667	-0,131204	-0,031502
0,093333	-0,141700	-0,031502
0,100000	-0,146948	-0,031502
0,106667	-0,152197	-0,031502
0,113333	-0,162693	-0,031502
0,120000	-0,167941	-0,031502
0,126667	-0,173189	-0,031502
0,133333	-0,183686	-0,031502
0,140000	-0,188934	-0,031502
0,146667	-0,194182	-0,031502
0,153333	-0,199430	-0,031502
0,160000	-0,204678	-0,031502
0,166667	-0,215174	-0,031502
0,173333	-0,215174	-0,026252
0,180000	-0,225671	-0,026252
0,186667	-0,230919	-0,026252
0,193333	-0,236167	-0,031502
0,200000	-0,241415	-0,031502
0,206667	-0,246663	-0,031502
0,213333	-0,251912	-0,026252
0,220000	-0,257160	-0,021002
0,226667	-0,262408	-0,026252
0,233333	-0,267656	-0,026252
0,240000	-0,272904	-0,026252
0,246667	-0,278152	-0,026252
0,253333	-0,283401	-0,021002
0,260000	-0,288649	-0,026252
0,266667	-0,288649	-0,021002
0,273333	-0,293897	-0,026252
0,280000	-0,299145	-0,021002
0,286667	-0,299145	-0,021002
0,293333	-0,304393	-0,021002
0,300000	-0,309641	-0,021002
0,306667	-0,309641	-0,015751
0,313333	-0,314889	-0,015751
0,320000	-0,320138	-0,015751
0,326667	-0,320138	-0,015751
0,333333	-0,320138	-0,015751
0,340000	-0,325386	-0,015751
0,346667	-0,330634	-0,015751
0,353333	-0,330634	-0,015751
0,360000	-0,330634	-0,015751
0,366667	-0,330634	-0,010501
0,373333	-0,335882	-0,015751
0,380000	-0,341130	-0,010501
0,386667	-0,335882	-0,010501
0,393333	-0,335882	-0,010501
0,400000	-0,335882	-0,010501
0,406667	-0,335882	-0,005250
0,413333	-0,341130	-0,005250
0,420000	-0,341130	-0,005250
0,426667	-0,341130	-0,005250
0,433333	-0,341130	-0,005250
0,440000	-0,341130	-0,005250
0,446667	-0,335882	0,000000
0,453333	-0,341130	-0,005250
0,460000	-0,341130	0,000000
0,466667	-0,341130	0,000000
0,473333	-0,341130	0,000000
0,480000	-0,335882	0,000000
0,486667	-0,335882	0,000000
0,493333	-0,330634	0,000000
0,500000	-0,330634	0,000000
0,506667	-0,325386	0,005250
0,513333	-0,330634	0,005250
0,520000	-0,330634	0,005250
0,526667	-0,325386	0,005250
0,533333	-0,320138	0,005250
0,540000	-0,320138	0,010501
0,546667	-0,314889	0,010501
0,553333	-0,309641	0,010501
0,560000	-0,309641	0,010501
0,566667	-0,304393	0,010501
0,573333	-0,304393	0,010501
0,580000	-0,299145	0,010501
0,586667	-0,293897	0,015751
0,593333	-0,293897	0,015751
0,600000	-0,288649	0,015751
0,606667	-0,288649	0,015751
0,613333	-0,283401	0,015751
0,620000	-0,272904	0,021002
0,626667	-0,267656	0,021002
0,633333	-0,267656	0,021002
0,640000	-0,262408	0,015751
0,646667	-0,257160	0,021002
0,653333	-0,251912	0,021002
0,660000	-0,246663	0,021002
0,666667	-0,241415	0,021002
0,673333	-0,236167	0,021002
0,680000	-0,230919	0,026252
0,686667	-0,225671	0,026252
0,693333	-0,220423	0,026252
0,700000	-0,209926	0,021002
0,706667	-0,204678	0,026252
0,713333	-0,199430	0,026252
0,720000	-0,194182	0,026252
0,726667	-0,188934	0,031502
0,733333	-0,178437	0,031502
0,740000	-0,173189	0,031502
0,746667	-0,167941	0,031502
0,753333	-0,157445	0,026252
0,760000	-0,152197	0,031502
0,766667	-0,146948	0,031502
0,773333	-0,141700	0,031502
0,780000	-0,131204	0,031502
0,786667	-0,125956	0,031502
0,793333	-0,115459	0,031502
0,800000	-0,110211	0,031502
0,806667	-0,099715	0,031502
0,813333	-0,094467	0,031502
0,820000	-0,089219	0,036753
0,826667	-0,078722	0,031502
0,833333	-0,073474	0,031502
0,840000	-0,062978	0,031502
0,846667	-0,052482	0,036753
0,853333	-0,047233	0,036753
0,860000	-0,036737	0,036753
0,866667	-0,031489	0,031502
0,873333	-0,020993	0,036753
0,880000	-0,015744	0,036753
0,886667	-0,010496	0,036753
0,893333	-0,000000	0,036753
0,900000	0,005248	0,036753
0,906667	0,015744	0,036753
0,913333	0,026241	0,031502
0,920000	0,031489	0,036753
0,926667	0,041985	0,036753
0,933333	0,052482	0,036753
0,940000	0,057730	0,036753
0,946667	0,068226	0,036753
0,953333	0,073474	0,036753
0,960000	0,083971	0,036753
0,966667	0,089219	0,036753
0,973333	0,099715	0,031502
0,980000	0,110211	0,036753
0,986667	0,115459	0,031502
0,993333	0,125956	0,036753
1,000000	0,136452	0,036753
1,006667	0,141700	0,036753
1,013333	0,146948	0,036753
1,020000	0,157445	0,036753
1,026667	0,167941	0,036753
1,033333	0,173189	0,031502
1,040000	0,178437	0,031502
1,046667	0,188934	0,036753
1,053333	0,194182	0,031502
1,060000	0,204678	0,036753
1,066667	0,209926	0,031502
1,073333	0,220423	0,031502
1,080000	0,220423	0,031502
1,086667	0,230919	0,031502
1,093333	0,236167	0,031502
1,100000	0,246663	0,031502
1,106667	0,251912	0,031502
1,113333	0,257160	0,031502
1,120000	0,262408	0,026252
1,126667	0,267656	0,026252
1,133333	0,278152	0,031502
1,140000	0,278152	0,026252
1,146667	0,288649	0,031502
1,153333	0,293897	0,026252
1,160000	0,304393	0,026252
1,166667	0,309641	0,026252
1,173333	0,309641	0,021002
1,180000	0,320138	0,026252
1,186667	0,320138	0,026252
1,193333	0,325386	0,026252
1,200000	0,330634	0,021002
1,206667	0,330634	0,021002
1,213333	0,335882	0,021002
1,220000	0,341130	0,021002
1,226667	0,346378	0,021002
1,233333	0,351627	0,021002
1,240000	0,356875	0,021002
1,246667	0,356875	0,015751
1,253333	0,362123	0,015751
1,260000	0,362123	0,015751
1,266667	0,367371	0,015751
1,273333	0,367371	0,015751
1,280000	0,372619	0,015751
1,286667	0,372619	0,015751
1,293333	0,377867	0,015751
1,300000	0,377867	0,010501
1,306667	0,383116	0,010501
1,313333	0,383116	0,015751
1,320000	0,388364	0,010501
1,326667	0,383116	0,010501
1,333333	0,383116	0,010501
1,340000	0,388364	0,010501
1,346667	0,393612	0,010501
1,353333	0,393612	0,005250
1,360000	0,388364	0,005250
1,366667	0,393612	0,005250
1,373333	0,388364	0,005250
1,380000	0,393612	0,005250
1,386667	0,388364	0,005250
1,393333	0,393612	0,005250
1,400000	0,393612	0,000000
1,406667	0,388364	0,000000
1,413333	0,388364	0,000000
1,420000	0,388364	0,000000
1,426667	0,383116	0,000000
1,433333	0,388364	0,000000
1,440000	0,383116	0,000000
1,446667	0,377867	-0,005250
1,453333	0,377867	-0,005250
1,460000	0,372619	-0,005250
1,466667	0,372619	-0,005250
1,473333	0,367371	-0,005250
1,480000	0,367371	-0,005250
1,486667	0,362123	-0,005250
1,493333	0,362123	-0,010501
1,500000	0,356875	-0,010501
1,506667	0,356875	-0,010501
1,513333	0,351627	-0,010501
1,520000	0,346378	-0,010501
1,526667	0,341130	-0,010501
1,533333	0,341130	-0,015751
1,540000	0,335882	-0,015751
1,546667	0,330634	-0,015751
1,553333	0,325386	-0,015751
1,560000	0,320138	-0,015751
1,566667	0,314889	-0,015751
1,573333	0,309641	-0,015751
1,580000	0,304393	-0,021002
1,586667	0,299145	-0,021002
1,593333	0,293897	-0,021002
1,600000	0,283401	-0,015751
1,606667	0,278152	-0,021002
1,613333	0,278152	-0,021002
1,620000	0,267656	-0,021002
1,626667	0,262408	-0,026252
1,633333	0,257160	-0,026252
1,640000	0,246663	-0,021002
1,646667	0,241415	-0,026252
1,653333	0,236167	-0,026252
1,660000	0,225671	-0,026252
