Time (t) / s,Reading,ω / rad/s
5.09,658.1,551.3285668
5.19,650.7,545.1291573
5.22,650.4,544.8778298
5.4,684.4,573.3616032
5.5,703.7,589.5303334
5.5,665.9,557.8630795
5.65,650.1,544.6265024
5.65,638.7,535.0760608
5.66,645.8,541.0241429
5.69,643.2,538.8459719
M = 50g,L = 86.5 cm,#VALUE!
