Time (s),Gyroscope x (rad/s)
4.84E+00,3.62E+00
4.84E+00,3.69E+00
4.85E+00,3.76E+00
4.85E+00,3.83E+00
4.85E+00,3.90E+00
4.85E+00,3.98E+00
4.85E+00,4.05E+00
4.86E+00,4.13E+00
4.86E+00,4.21E+00
4.86E+00,4.29E+00
4.86E+00,4.37E+00
4.86E+00,4.45E+00
4.87E+00,4.54E+00
4.87E+00,4.62E+00
4.87E+00,4.71E+00
4.87E+00,4.80E+00
4.88E+00,4.90E+00
4.88E+00,4.99E+00
4.88E+00,5.10E+00
4.88E+00,5.20E+00
4.88E+00,5.31E+00
4.89E+00,5.42E+00
4.89E+00,5.54E+00
4.89E+00,5.66E+00
4.89E+00,5.79E+00
4.89E+00,5.92E+00
4.90E+00,6.05E+00
4.90E+00,6.19E+00
4.91E+00,6.59E+00
4.91E+00,6.72E+00
4.91E+00,6.85E+00
4.91E+00,6.98E+00
4.91E+00,7.11E+00
4.92E+00,7.24E+00
4.92E+00,7.37E+00
4.92E+00,7.49E+00
4.92E+00,7.62E+00
4.92E+00,7.75E+00
4.93E+00,7.87E+00
4.93E+00,7.99E+00
4.93E+00,8.12E+00
4.93E+00,8.24E+00
4.93E+00,8.36E+00
4.94E+00,8.48E+00
4.94E+00,8.59E+00
4.94E+00,8.71E+00
4.94E+00,8.84E+00
4.94E+00,8.98E+00
4.95E+00,9.14E+00
4.95E+00,9.30E+00
4.95E+00,9.44E+00
4.95E+00,9.57E+00
4.95E+00,9.70E+00
4.96E+00,9.81E+00
4.96E+00,9.93E+00
4.96E+00,1.00E+01
4.96E+00,1.02E+01
4.96E+00,1.03E+01
4.97E+00,1.04E+01
4.97E+00,1.05E+01
4.97E+00,1.06E+01
4.97E+00,1.07E+01
4.98E+00,1.08E+01
4.98E+00,1.10E+01
4.98E+00,1.11E+01
4.98E+00,1.12E+01
4.98E+00,1.14E+01
4.99E+00,1.15E+01
4.99E+00,1.17E+01
4.99E+00,1.18E+01
4.99E+00,1.19E+01
