Time (t) / s,Reading,ω / rad/s
5.09,658.1,8.6145
5.19,650.7,8.5176
5.22,650.4,8.5137
5.4,684.4,8.9588
5.5,703.7,9.2114
5.5,665.9,8.7166
5.65,650.1,8.5098
5.65,638.7,8.3606
5.66,645.8,8.4535
5.69,643.2,8.4195
M = 50g,L = 86.5 cm,
