t (s)	U1(V)	U2(V)
0,000000	0,766231	0,000000
0,003333	0,755735	0,000000
0,006667	0,750487	-0,005250
0,010000	0,739990	-0,005250
0,013333	0,729494	-0,005250
0,016667	0,724246	-0,005250
0,020000	0,708501	-0,005250
0,023333	0,703253	-0,005250
0,026667	0,692757	0,000000
0,030000	0,682261	-0,005250
0,033333	0,671764	-0,005250
0,036667	0,661268	-0,005250
0,040000	0,650772	-0,005250
0,043333	0,640275	-0,005250
0,046667	0,629779	-0,005250
0,050000	0,624531	-0,005250
0,053333	0,608786	0,000000
0,056667	0,603538	0,000000
0,060000	0,598290	-0,005250
0,063333	0,582546	-0,005250
0,066667	0,577297	-0,005250
0,070000	0,566801	-0,005250
0,073333	0,551057	-0,005250
0,076667	0,545808	0,000000
0,080000	0,540560	0,000000
0,083333	0,530064	-0,005250
0,086667	0,519568	0,000000
0,090000	0,509071	-0,005250
0,093333	0,498575	-0,005250
0,096667	0,493327	0,000000
0,100000	0,482831	-0,005250
0,103333	0,467086	-0,005250
0,106667	0,461838	-0,005250
0,110000	0,451342	-0,005250
0,113333	0,435597	-0,005250
0,116667	0,430349	0,000000
0,120000	0,425101	0,000000
0,123333	0,414605	0,000000
0,126667	0,404108	-0,005250
0,130000	0,393612	-0,005250
0,133333	0,383116	0,000000
0,136667	0,372619	0,000000
0,140000	0,367371	-0,005250
0,143333	0,356875	0,000000
0,146667	0,346378	-0,005250
0,150000	0,335882	-0,005250
0,153333	0,325386	-0,005250
0,156667	0,314889	-0,005250
0,160000	0,309641	0,000000
0,163333	0,304393	0,000000
0,166667	0,288649	0,000000
0,170000	0,283401	-0,005250
0,173333	0,272904	0,000000
0,176667	0,262408	0,000000
0,180000	0,257160	0,000000
0,183333	0,246663	-0,005250
0,186667	0,236167	0,000000
0,190000	0,225671	0,000000
0,193333	0,220423	0,000000
0,196667	0,209926	-0,005250
0,200000	0,199430	-0,005250
0,203333	0,183686	0,000000
0,206667	0,178437	0,000000
0,210000	0,167941	0,000000
0,213333	0,162693	0,000000
0,216667	0,157445	0,000000
0,220000	0,146948	0,000000
0,223333	0,136452	0,000000
0,226667	0,125956	-0,005250
0,230000	0,115459	0,000000
0,233333	0,110211	0,000000
0,236667	0,099715	-0,005250
0,240000	0,094467	0,000000
0,243333	0,083971	-0,005250
0,246667	0,078722	0,000000
0,250000	0,068226	0,000000
0,253333	0,057730	-0,005250
0,256667	0,052482	0,000000
0,260000	0,041985	-0,005250
0,263333	0,036737	0,000000
0,266667	0,031489	0,000000
0,270000	0,020993	0,000000
0,273333	0,015744	0,000000
0,276667	0,005248	0,000000
0,280000	0,000000	0,000000
0,283333	-0,010496	0,000000
0,286667	-0,020993	-0,005250
0,290000	-0,020993	0,000000
0,293333	-0,036737	0,000000
0,296667	-0,041985	0,000000
0,300000	-0,047233	0,000000
0,303333	-0,057730	0,000000
0,306667	-0,062978	0,000000
0,310000	-0,068226	0,000000
0,313333	-0,078722	0,000000
0,316667	-0,083971	0,000000
0,320000	-0,089219	0,000000
0,323333	-0,094467	0,000000
0,326667	-0,104963	-0,005250
0,330000	-0,115459	0,000000
0,333333	-0,120708	-0,005250
0,336667	-0,125956	0,000000
0,340000	-0,131204	0,000000
0,343333	-0,141700	0,000000
0,346667	-0,146948	0,000000
0,350000	-0,152197	0,000000
0,353333	-0,157445	0,000000
0,356667	-0,162693	0,000000
0,360000	-0,173189	0,000000
0,363333	-0,178437	-0,005250
0,366667	-0,183686	-0,005250
0,370000	-0,183686	0,000000
0,373333	-0,194182	0,000000
0,376667	-0,199430	0,000000
0,380000	-0,199430	0,000000
0,383333	-0,209926	0,000000
0,386667	-0,215174	0,000000
0,390000	-0,220423	-0,005250
0,393333	-0,225671	0,000000
0,396667	-0,230919	0,000000
0,400000	-0,230919	0,000000
0,403333	-0,241415	0,000000
0,406667	-0,246663	0,000000
0,410000	-0,251912	0,000000
0,413333	-0,257160	0,000000
0,416667	-0,257160	0,000000
0,420000	-0,262408	0,000000
0,423333	-0,267656	0,000000
0,426667	-0,272904	0,000000
0,430000	-0,278152	0,000000
0,433333	-0,283401	0,000000
0,436667	-0,288649	0,000000
0,440000	-0,288649	0,000000
0,443333	-0,293897	0,000000
0,446667	-0,299145	0,000000
0,450000	-0,304393	0,000000
0,453333	-0,304393	0,000000
0,456667	-0,309641	0,000000
0,460000	-0,309641	0,005250
0,463333	-0,320138	0,005250
0,466667	-0,320138	0,000000
0,470000	-0,325386	0,000000
0,473333	-0,325386	0,000000
0,476667	-0,330634	0,000000
0,480000	-0,335882	0,000000
0,483333	-0,335882	0,000000
0,486667	-0,341130	0,000000
0,490000	-0,341130	0,000000
0,493333	-0,346378	0,005250
0,496667	-0,351627	0,000000
0,500000	-0,351627	0,000000
0,503333	-0,351627	0,000000
0,506667	-0,356875	0,000000
0,510000	-0,362123	0,000000
0,513333	-0,362123	0,005250
0,516667	-0,362123	0,000000
0,520000	-0,367371	0,000000
0,523333	-0,372619	0,000000
0,526667	-0,372619	0,000000
0,530000	-0,362123	0,000000
0,533333	-0,372619	0,005250
0,536667	-0,377867	0,000000
0,540000	-0,383116	0,000000
0,543333	-0,383116	0,000000
0,546667	-0,383116	0,005250
0,550000	-0,383116	0,005250
0,553333	-0,388364	0,005250
0,556667	-0,388364	0,000000
0,560000	-0,388364	0,000000
0,563333	-0,388364	0,000000
0,566667	-0,393612	0,000000
0,570000	-0,393612	0,000000
0,573333	-0,393612	0,005250
0,576667	-0,393612	0,000000
0,580000	-0,398860	0,000000
0,583333	-0,398860	0,000000
0,586667	-0,398860	0,000000
0,590000	-0,398860	0,000000
0,593333	-0,398860	0,000000
0,596667	-0,404108	0,000000
0,600000	-0,404108	0,000000
0,603333	-0,404108	0,005250
0,606667	-0,404108	0,000000
0,610000	-0,404108	0,000000
0,613333	-0,404108	0,000000
0,616667	-0,404108	0,000000
0,620000	-0,409356	0,000000
0,623333	-0,404108	0,000000
0,626667	-0,409356	0,005250
0,630000	-0,404108	0,000000
0,633333	-0,409356	0,000000
0,636667	-0,409356	0,000000
0,640000	-0,404108	0,000000
0,643333	-0,409356	0,000000
0,646667	-0,409356	0,000000
0,650000	-0,409356	0,000000
0,653333	-0,409356	0,005250
0,656667	-0,409356	0,000000
0,660000	-0,409356	0,005250
0,663333	-0,409356	0,005250
0,666667	-0,409356	0,000000
0,670000	-0,409356	0,005250
0,673333	-0,409356	0,000000
0,676667	-0,409356	0,000000
0,680000	-0,404108	0,000000
0,683333	-0,409356	0,005250
0,686667	-0,404108	0,000000
0,690000	-0,404108	0,000000
0,693333	-0,404108	0,000000
0,696667	-0,404108	0,005250
0,700000	-0,404108	0,000000
0,703333	-0,404108	-0,005250
0,706667	-0,398860	-0,005250
0,710000	-0,398860	0,000000
0,713333	-0,404108	0,005250
0,716667	-0,404108	0,005250
0,720000	-0,398860	0,000000
0,723333	-0,398860	0,000000
0,726667	-0,398860	0,000000
0,730000	-0,393612	0,005250
0,733333	-0,393612	0,005250
0,736667	-0,393612	0,000000
0,740000	-0,393612	0,000000
0,743333	-0,393612	0,000000
0,746667	-0,388364	0,000000
0,750000	-0,388364	0,005250
0,753333	-0,388364	0,005250
0,756667	-0,383116	0,005250
0,760000	-0,388364	0,000000
0,763333	-0,383116	0,000000
0,766667	-0,377867	0,000000
0,770000	-0,377867	0,000000
0,773333	-0,383116	0,000000
0,776667	-0,377867	0,000000
0,780000	-0,377867	0,005250
0,783333	-0,377867	0,000000
0,786667	-0,372619	0,000000
0,790000	-0,372619	0,000000
0,793333	-0,372619	0,000000
0,796667	-0,367371	0,000000
0,800000	-0,367371	0,005250
0,803333	-0,367371	0,000000
0,806667	-0,362123	0,005250
0,810000	-0,362123	0,000000
0,813333	-0,362123	0,000000
0,816667	-0,356875	0,000000
0,820000	-0,356875	0,000000
0,823333	-0,351627	0,000000
0,826667	-0,351627	0,000000
0,830000	-0,351627	0,005250
0,833333	-0,346378	0,000000
0,836667	-0,346378	0,000000
0,840000	-0,341130	0,005250
0,843333	-0,341130	0,000000
0,846667	-0,341130	0,000000
0,850000	-0,341130	0,000000
0,853333	-0,335882	0,005250
0,856667	-0,335882	0,000000
0,860000	-0,330634	0,000000
0,863333	-0,330634	0,000000
0,866667	-0,330634	0,005250
0,870000	-0,325386	0,000000
0,873333	-0,325386	0,005250
0,876667	-0,320138	0,000000
0,880000	-0,320138	0,005250
0,883333	-0,314889	0,000000
0,886667	-0,314889	0,005250
0,890000	-0,314889	0,000000
0,893333	-0,309641	0,000000
0,896667	-0,309641	0,000000
0,900000	-0,309641	0,000000
0,903333	-0,304393	0,000000
0,906667	-0,299145	0,000000
0,910000	-0,299145	0,000000
0,913333	-0,299145	0,000000
0,916667	-0,293897	0,000000
0,920000	-0,288649	0,005250
0,923333	-0,288649	0,000000
0,926667	-0,283401	0,000000
0,930000	-0,283401	0,005250
0,933333	-0,283401	0,000000
0,936667	-0,278152	0,000000
0,940000	-0,278152	0,000000
0,943333	-0,272904	0,005250
0,946667	-0,272904	0,000000
0,950000	-0,267656	0,000000
0,953333	-0,262408	0,005250
0,956667	-0,262408	0,000000
0,960000	-0,262408	0,005250
0,963333	-0,262408	0,000000
0,966667	-0,257160	0,005250
0,970000	-0,251912	0,000000
0,973333	-0,246663	0,005250
0,976667	-0,246663	0,000000
0,980000	-0,246663	0,000000
0,983333	-0,246663	0,000000
0,986667	-0,241415	0,005250
0,990000	-0,241415	0,000000
0,993333	-0,236167	0,000000
0,996667	-0,230919	0,000000
1,000000	-0,230919	0,000000
1,003333	-0,230919	0,005250
1,006667	-0,225671	0,000000
1,010000	-0,220423	0,000000
1,013333	-0,220423	0,005250
1,016667	-0,220423	0,000000
1,020000	-0,215174	0,000000
1,023333	-0,209926	0,005250
1,026667	-0,209926	0,000000
1,030000	-0,209926	0,000000
1,033333	-0,204678	0,000000
1,036667	-0,204678	0,000000
1,040000	-0,199430	0,005250
1,043333	-0,199430	0,000000
1,046667	-0,194182	0,000000
1,050000	-0,194182	0,000000
1,053333	-0,188934	0,005250
1,056667	-0,183686	0,005250
1,060000	-0,183686	0,000000
1,063333	-0,183686	0,000000
1,066667	-0,173189	0,005250
1,070000	-0,173189	0,000000
1,073333	-0,173189	0,000000
1,076667	-0,173189	0,005250
1,080000	-0,167941	0,000000
1,083333	-0,167941	0,000000
1,086667	-0,162693	0,000000
1,090000	-0,157445	0,000000
1,093333	-0,157445	0,000000
1,096667	-0,157445	0,005250
1,100000	-0,157445	0,000000
1,103333	-0,152197	0,000000
1,106667	-0,146948	0,000000
1,110000	-0,146948	0,005250
1,113333	-0,146948	0,005250
1,116667	-0,141700	0,000000
1,120000	-0,136452	0,000000
1,123333	-0,136452	0,000000
1,126667	-0,136452	0,000000
1,130000	-0,131204	0,005250
1,133333	-0,125956	0,005250
1,136667	-0,125956	0,000000
1,140000	-0,120708	0,005250
1,143333	-0,120708	0,005250
1,146667	-0,120708	0,005250
1,150000	-0,115459	0,000000
1,153333	-0,115459	0,000000
1,156667	-0,110211	0,000000
1,160000	-0,110211	0,000000
1,163333	-0,104963	0,005250
1,166667	-0,104963	0,000000
1,170000	-0,104963	0,000000
1,173333	-0,099715	0,000000
1,176667	-0,094467	0,000000
1,180000	-0,094467	0,000000
1,183333	-0,094467	0,000000
1,186667	-0,094467	0,000000
1,190000	-0,089219	0,000000
1,193333	-0,089219	0,000000
1,196667	-0,083971	0,005250
1,200000	-0,078722	0,000000
1,203333	-0,078722	0,000000
1,206667	-0,078722	0,005250
1,210000	-0,078722	0,005250
1,213333	-0,073474	0,000000
1,216667	-0,073474	0,000000
1,220000	-0,068226	0,000000
1,223333	-0,068226	0,000000
1,226667	-0,068226	0,000000
1,230000	-0,062978	0,005250
1,233333	-0,062978	0,005250
1,236667	-0,057730	0,000000
1,240000	-0,057730	0,005250
1,243333	-0,057730	0,000000
1,246667	-0,052482	0,000000
1,250000	-0,052482	0,000000
1,253333	-0,052482	0,005250
1,256667	-0,047233	0,005250
1,260000	-0,047233	0,000000
1,263333	-0,047233	0,000000
1,266667	-0,041985	0,005250
1,270000	-0,041985	0,000000
1,273333	-0,036737	0,000000
1,276667	-0,036737	0,000000
1,280000	-0,036737	0,000000
1,283333	-0,036737	0,000000
1,286667	-0,036737	0,000000
1,290000	-0,026241	0,005250
1,293333	-0,031489	0,000000
1,296667	-0,026241	0,005250
1,300000	-0,026241	0,005250
1,303333	-0,026241	0,005250
1,306667	-0,020993	0,000000
1,310000	-0,020993	0,000000
1,313333	-0,015744	0,005250
1,316667	-0,020993	0,000000
1,320000	-0,020993	0,005250
1,323333	-0,015744	0,000000
1,326667	-0,010496	0,005250
1,330000	-0,010496	0,000000
1,333333	-0,010496	0,005250
1,336667	-0,010496	0,000000
1,340000	-0,005248	0,005250
1,343333	-0,010496	0,000000
1,346667	-0,005248	0,005250
1,350000	0,000000	0,005250
1,353333	0,000000	0,000000
1,356667	0,000000	0,005250
1,360000	0,005248	0,000000
1,363333	0,005248	0,005250
1,366667	0,000000	0,000000
1,370000	0,005248	0,000000
1,373333	0,005248	0,000000
1,376667	0,010496	0,000000
1,380000	0,010496	0,000000
1,383333	0,010496	0,005250
1,386667	0,010496	0,000000
1,390000	0,015744	0,000000
1,393333	0,015744	0,000000
1,396667	0,015744	0,000000
1,400000	0,020993	0,000000
1,403333	0,020993	0,000000
1,406667	0,020993	0,000000
1,410000	0,020993	0,000000
1,413333	0,026241	0,000000
1,416667	0,026241	0,000000
1,420000	0,020993	0,000000
1,423333	0,026241	0,000000
1,426667	0,026241	0,000000
1,430000	0,026241	0,005250
1,433333	0,026241	0,000000
1,436667	0,031489	0,000000
1,440000	0,031489	0,000000
1,443333	0,031489	0,000000
1,446667	0,031489	0,000000
1,450000	0,036737	0,000000
1,453333	0,031489	0,000000
1,456667	0,036737	0,000000
1,460000	0,036737	0,000000
1,463333	0,036737	0,000000
1,466667	0,036737	0,000000
1,470000	0,036737	0,000000
1,473333	0,041985	0,000000
1,476667	0,041985	0,000000
1,480000	0,041985	0,000000
1,483333	0,047233	0,000000
1,486667	0,041985	0,005250
1,490000	0,041985	0,005250
1,493333	0,041985	0,000000
1,496667	0,047233	0,005250
1,500000	0,047233	0,000000
1,503333	0,047233	0,000000
1,506667	0,047233	0,000000
1,510000	0,052482	0,005250
1,513333	0,047233	0,000000
1,516667	0,047233	0,000000
1,520000	0,052482	0,005250
1,523333	0,052482	0,005250
1,526667	0,052482	0,005250
1,530000	0,052482	0,000000
1,533333	0,052482	0,005250
1,536667	0,052482	0,000000
1,540000	0,052482	0,000000
1,543333	0,052482	0,005250
1,546667	0,052482	0,000000
1,550000	0,052482	0,000000
1,553333	0,057730	0,000000
1,556667	0,057730	0,005250
1,560000	0,057730	0,000000
1,563333	0,057730	0,000000
1,566667	0,057730	0,000000
1,570000	0,057730	0,005250
1,573333	0,057730	0,005250
1,576667	0,062978	0,005250
1,580000	0,057730	0,000000
1,583333	0,057730	0,000000
1,586667	0,057730	0,000000
1,590000	0,062978	0,000000
1,593333	0,062978	0,000000
1,596667	0,057730	0,000000
1,600000	0,062978	0,000000
1,603333	0,057730	0,000000
1,606667	0,062978	0,005250
1,610000	0,062978	0,000000
1,613333	0,057730	0,000000
1,616667	0,062978	0,000000
1,620000	0,062978	0,000000
1,623333	0,062978	0,000000
1,626667	0,062978	0,000000
1,630000	0,068226	0,000000
1,633333	0,062978	0,000000
1,636667	0,062978	0,000000
1,640000	0,062978	0,000000
1,643333	0,062978	0,000000
1,646667	0,062978	0,005250
1,650000	0,062978	0,000000
1,653333	0,068226	0,000000
1,656667	0,062978	0,000000
1,660000	0,068226	0,005250
1,663333	0,062978	0,000000
1,666667	0,062978	0,000000
1,670000	0,062978	0,005250
1,673333	0,068226	0,000000
1,676667	0,062978	0,000000
1,680000	0,068226	0,005250
1,683333	0,062978	0,000000
1,686667	0,068226	0,000000
1,690000	0,068226	0,000000
1,693333	0,068226	0,000000
1,696667	0,068226	0,000000
1,700000	0,068226	0,005250
1,703333	0,068226	0,005250
1,706667	0,068226	0,000000
1,710000	0,068226	0,005250
1,713333	0,068226	0,000000
1,716667	0,068226	0,000000
1,720000	0,062978	0,000000
1,723333	0,068226	0,000000
1,726667	0,068226	0,005250
1,730000	0,062978	0,000000
1,733333	0,068226	0,000000
1,736667	0,068226	0,005250
1,740000	0,068226	0,000000
1,743333	0,068226	0,005250
1,746667	0,068226	0,000000
1,750000	0,068226	0,000000
1,753333	0,062978	0,005250
1,756667	0,062978	0,000000
1,760000	0,062978	0,000000
1,763333	0,062978	0,000000
1,766667	0,068226	0,000000
1,770000	0,068226	0,000000
1,773333	0,062978	0,000000
1,776667	0,062978	0,000000
